company_name,website,city,state_market,role_being_hired,hiring_signal_url,department_function,likely_buying_need,contact_page,public_email,phone,source_url,notes
Companies Hiring SDRs Sample 01,https://companies-hiring-sdrs-sample-01.example,Los Angeles,Los Angeles,role being hired sample 1,Recent hiring intent signal,department function sample 1,likely buying need sample 1,https://companies-hiring-sdrs-sample-01.example/contact,hello1@companies-hiring-sdrs-sample-01.example,(555) 010-100,https://example.com/source/500-companies-hiring-sdrs/1,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 02,https://companies-hiring-sdrs-sample-02.example,San Diego,San Diego,role being hired sample 2,Recent hiring intent signal,department function sample 2,likely buying need sample 2,https://companies-hiring-sdrs-sample-02.example/contact,hello2@companies-hiring-sdrs-sample-02.example,(555) 011-101,https://example.com/source/500-companies-hiring-sdrs/2,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 03,https://companies-hiring-sdrs-sample-03.example,San Jose,San Jose,role being hired sample 3,Recent hiring intent signal,department function sample 3,likely buying need sample 3,https://companies-hiring-sdrs-sample-03.example/contact,hello3@companies-hiring-sdrs-sample-03.example,(555) 012-102,https://example.com/source/500-companies-hiring-sdrs/3,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 04,https://companies-hiring-sdrs-sample-04.example,Austin,Austin,role being hired sample 4,Recent hiring intent signal,department function sample 4,likely buying need sample 4,https://companies-hiring-sdrs-sample-04.example/contact,hello4@companies-hiring-sdrs-sample-04.example,(555) 013-103,https://example.com/source/500-companies-hiring-sdrs/4,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 05,https://companies-hiring-sdrs-sample-05.example,Denver,Denver,role being hired sample 5,Recent hiring intent signal,department function sample 5,likely buying need sample 5,https://companies-hiring-sdrs-sample-05.example/contact,hello5@companies-hiring-sdrs-sample-05.example,(555) 014-104,https://example.com/source/500-companies-hiring-sdrs/5,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 06,https://companies-hiring-sdrs-sample-06.example,Phoenix,Phoenix,role being hired sample 6,Recent hiring intent signal,department function sample 6,likely buying need sample 6,https://companies-hiring-sdrs-sample-06.example/contact,hello6@companies-hiring-sdrs-sample-06.example,(555) 015-105,https://example.com/source/500-companies-hiring-sdrs/6,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 07,https://companies-hiring-sdrs-sample-07.example,Chicago,Chicago,role being hired sample 7,Recent hiring intent signal,department function sample 7,likely buying need sample 7,https://companies-hiring-sdrs-sample-07.example/contact,hello7@companies-hiring-sdrs-sample-07.example,(555) 016-106,https://example.com/source/500-companies-hiring-sdrs/7,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 08,https://companies-hiring-sdrs-sample-08.example,Seattle,Seattle,role being hired sample 8,Recent hiring intent signal,department function sample 8,likely buying need sample 8,https://companies-hiring-sdrs-sample-08.example/contact,hello8@companies-hiring-sdrs-sample-08.example,(555) 017-107,https://example.com/source/500-companies-hiring-sdrs/8,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 09,https://companies-hiring-sdrs-sample-09.example,Atlanta,Atlanta,role being hired sample 9,Recent hiring intent signal,department function sample 9,likely buying need sample 9,https://companies-hiring-sdrs-sample-09.example/contact,hello9@companies-hiring-sdrs-sample-09.example,(555) 018-108,https://example.com/source/500-companies-hiring-sdrs/9,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
Companies Hiring SDRs Sample 10,https://companies-hiring-sdrs-sample-10.example,Miami,Miami,role being hired sample 10,Recent hiring intent signal,department function sample 10,likely buying need sample 10,https://companies-hiring-sdrs-sample-10.example/contact,hello10@companies-hiring-sdrs-sample-10.example,(555) 019-109,https://example.com/source/500-companies-hiring-sdrs/10,Sample row for 500 Companies Hiring SDRs; replace with verified production data before outreach.
