business_name,website,city,state,category,issue_spotted,contact_page,phone,public_email,source_url,notes
Contractors Sample 01,https://contractors-sample-01.example,Los Angeles,CA,Website Opportunity,Relevant website opportunity opportunity signal 1,https://contractors-sample-01.example/contact,(555) 010-100,hello1@contractors-sample-01.example,https://example.com/source/500-contractors-without-quote-forms/1,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 02,https://contractors-sample-02.example,San Diego,CA,Website Opportunity,Relevant website opportunity opportunity signal 2,https://contractors-sample-02.example/contact,(555) 011-101,hello2@contractors-sample-02.example,https://example.com/source/500-contractors-without-quote-forms/2,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 03,https://contractors-sample-03.example,San Jose,CA,Website Opportunity,Relevant website opportunity opportunity signal 3,https://contractors-sample-03.example/contact,(555) 012-102,hello3@contractors-sample-03.example,https://example.com/source/500-contractors-without-quote-forms/3,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 04,https://contractors-sample-04.example,Austin,TX,Website Opportunity,Relevant website opportunity opportunity signal 4,https://contractors-sample-04.example/contact,(555) 013-103,hello4@contractors-sample-04.example,https://example.com/source/500-contractors-without-quote-forms/4,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 05,https://contractors-sample-05.example,Denver,CO,Website Opportunity,Relevant website opportunity opportunity signal 5,https://contractors-sample-05.example/contact,(555) 014-104,hello5@contractors-sample-05.example,https://example.com/source/500-contractors-without-quote-forms/5,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 06,https://contractors-sample-06.example,Phoenix,AZ,Website Opportunity,Relevant website opportunity opportunity signal 6,https://contractors-sample-06.example/contact,(555) 015-105,hello6@contractors-sample-06.example,https://example.com/source/500-contractors-without-quote-forms/6,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 07,https://contractors-sample-07.example,Chicago,IL,Website Opportunity,Relevant website opportunity opportunity signal 7,https://contractors-sample-07.example/contact,(555) 016-106,hello7@contractors-sample-07.example,https://example.com/source/500-contractors-without-quote-forms/7,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 08,https://contractors-sample-08.example,Seattle,WA,Website Opportunity,Relevant website opportunity opportunity signal 8,https://contractors-sample-08.example/contact,(555) 017-107,hello8@contractors-sample-08.example,https://example.com/source/500-contractors-without-quote-forms/8,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 09,https://contractors-sample-09.example,Atlanta,GA,Website Opportunity,Relevant website opportunity opportunity signal 9,https://contractors-sample-09.example/contact,(555) 018-108,hello9@contractors-sample-09.example,https://example.com/source/500-contractors-without-quote-forms/9,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
Contractors Sample 10,https://contractors-sample-10.example,Miami,FL,Website Opportunity,Relevant website opportunity opportunity signal 10,https://contractors-sample-10.example/contact,(555) 019-109,hello10@contractors-sample-10.example,https://example.com/source/500-contractors-without-quote-forms/10,Sample row for 500 Contractors Without Quote Forms; replace with verified production data before outreach.
