candidate,office,campaign_website,has_donation_link,donation_platform_used,missing_actblue,winred,anedot,or_other_platform_signal,contact_email,election_date,source_url,notes
2026-04-10,office sample 1,https://campaigns-sample-01.example,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,missing actblue sample 1,winred sample 1,anedot sample 1,Relevant political data opportunity signal 1,hello1@campaigns-sample-01.example,2026-04-10,https://example.com/source/campaigns-without-donation-pages/1,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-11,office sample 2,https://campaigns-sample-02.example,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,missing actblue sample 2,winred sample 2,anedot sample 2,Relevant political data opportunity signal 2,hello2@campaigns-sample-02.example,2026-04-11,https://example.com/source/campaigns-without-donation-pages/2,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-12,office sample 3,https://campaigns-sample-03.example,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,missing actblue sample 3,winred sample 3,anedot sample 3,Relevant political data opportunity signal 3,hello3@campaigns-sample-03.example,2026-04-12,https://example.com/source/campaigns-without-donation-pages/3,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-13,office sample 4,https://campaigns-sample-04.example,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,missing actblue sample 4,winred sample 4,anedot sample 4,Relevant political data opportunity signal 4,hello4@campaigns-sample-04.example,2026-04-13,https://example.com/source/campaigns-without-donation-pages/4,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-14,office sample 5,https://campaigns-sample-05.example,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,missing actblue sample 5,winred sample 5,anedot sample 5,Relevant political data opportunity signal 5,hello5@campaigns-sample-05.example,2026-04-14,https://example.com/source/campaigns-without-donation-pages/5,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-15,office sample 6,https://campaigns-sample-06.example,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,missing actblue sample 6,winred sample 6,anedot sample 6,Relevant political data opportunity signal 6,hello6@campaigns-sample-06.example,2026-04-15,https://example.com/source/campaigns-without-donation-pages/6,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-16,office sample 7,https://campaigns-sample-07.example,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,missing actblue sample 7,winred sample 7,anedot sample 7,Relevant political data opportunity signal 7,hello7@campaigns-sample-07.example,2026-04-16,https://example.com/source/campaigns-without-donation-pages/7,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-17,office sample 8,https://campaigns-sample-08.example,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,missing actblue sample 8,winred sample 8,anedot sample 8,Relevant political data opportunity signal 8,hello8@campaigns-sample-08.example,2026-04-17,https://example.com/source/campaigns-without-donation-pages/8,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-18,office sample 9,https://campaigns-sample-09.example,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,missing actblue sample 9,winred sample 9,anedot sample 9,Relevant political data opportunity signal 9,hello9@campaigns-sample-09.example,2026-04-18,https://example.com/source/campaigns-without-donation-pages/9,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
2026-04-19,office sample 10,https://campaigns-sample-10.example,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,missing actblue sample 10,winred sample 10,anedot sample 10,Relevant political data opportunity signal 10,hello10@campaigns-sample-10.example,2026-04-19,https://example.com/source/campaigns-without-donation-pages/10,Sample row for Campaigns Without Donation Pages; replace with verified production data before outreach.
