business_name,website_source_profile,city,state,category,website_issue_spotted,conversion_gap,contact_page,phone,public_email,source_url,notes
Auto Repair Shops Sample 01,https://auto-repair-shops-sample-01.example,Los Angeles,CA,Website Opportunity,https://auto-repair-shops-sample-01.example,Relevant website opportunity opportunity signal 1,https://auto-repair-shops-sample-01.example/contact,(555) 010-100,hello1@auto-repair-shops-sample-01.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/1,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 02,https://auto-repair-shops-sample-02.example,San Diego,CA,Website Opportunity,https://auto-repair-shops-sample-02.example,Relevant website opportunity opportunity signal 2,https://auto-repair-shops-sample-02.example/contact,(555) 011-101,hello2@auto-repair-shops-sample-02.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/2,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 03,https://auto-repair-shops-sample-03.example,San Jose,CA,Website Opportunity,https://auto-repair-shops-sample-03.example,Relevant website opportunity opportunity signal 3,https://auto-repair-shops-sample-03.example/contact,(555) 012-102,hello3@auto-repair-shops-sample-03.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/3,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 04,https://auto-repair-shops-sample-04.example,Austin,TX,Website Opportunity,https://auto-repair-shops-sample-04.example,Relevant website opportunity opportunity signal 4,https://auto-repair-shops-sample-04.example/contact,(555) 013-103,hello4@auto-repair-shops-sample-04.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/4,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 05,https://auto-repair-shops-sample-05.example,Denver,CO,Website Opportunity,https://auto-repair-shops-sample-05.example,Relevant website opportunity opportunity signal 5,https://auto-repair-shops-sample-05.example/contact,(555) 014-104,hello5@auto-repair-shops-sample-05.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/5,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 06,https://auto-repair-shops-sample-06.example,Phoenix,AZ,Website Opportunity,https://auto-repair-shops-sample-06.example,Relevant website opportunity opportunity signal 6,https://auto-repair-shops-sample-06.example/contact,(555) 015-105,hello6@auto-repair-shops-sample-06.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/6,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 07,https://auto-repair-shops-sample-07.example,Chicago,IL,Website Opportunity,https://auto-repair-shops-sample-07.example,Relevant website opportunity opportunity signal 7,https://auto-repair-shops-sample-07.example/contact,(555) 016-106,hello7@auto-repair-shops-sample-07.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/7,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 08,https://auto-repair-shops-sample-08.example,Seattle,WA,Website Opportunity,https://auto-repair-shops-sample-08.example,Relevant website opportunity opportunity signal 8,https://auto-repair-shops-sample-08.example/contact,(555) 017-107,hello8@auto-repair-shops-sample-08.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/8,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 09,https://auto-repair-shops-sample-09.example,Atlanta,GA,Website Opportunity,https://auto-repair-shops-sample-09.example,Relevant website opportunity opportunity signal 9,https://auto-repair-shops-sample-09.example/contact,(555) 018-108,hello9@auto-repair-shops-sample-09.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/9,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
Auto Repair Shops Sample 10,https://auto-repair-shops-sample-10.example,Miami,FL,Website Opportunity,https://auto-repair-shops-sample-10.example,Relevant website opportunity opportunity signal 10,https://auto-repair-shops-sample-10.example/contact,(555) 019-109,hello10@auto-repair-shops-sample-10.example,https://example.com/source/500-auto-repair-shops-with-bad-websites/10,Sample row for 500 Auto Repair Shops With Bad Websites; replace with verified production data before outreach.
