measure_name_number,jurisdiction,topic,support_committee,opposition_committee,treasurer_public_contact,website,donation_link,funding_raised,major_donors_where_public,election_date,source_url,notes
measure name number sample 1,jurisdiction sample 1,topic sample 1,support committee sample 1,opposition committee sample 1,treasurer public contact sample 1,https://labor-ballot-measure-campaign-list-sample-01.example,Relevant political data opportunity signal 1,funding raised sample 1,major donors where public sample 1,2026-04-10,https://example.com/source/labor-ballot-measure-campaign-list/1,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 2,jurisdiction sample 2,topic sample 2,support committee sample 2,opposition committee sample 2,treasurer public contact sample 2,https://labor-ballot-measure-campaign-list-sample-02.example,Relevant political data opportunity signal 2,funding raised sample 2,major donors where public sample 2,2026-04-11,https://example.com/source/labor-ballot-measure-campaign-list/2,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 3,jurisdiction sample 3,topic sample 3,support committee sample 3,opposition committee sample 3,treasurer public contact sample 3,https://labor-ballot-measure-campaign-list-sample-03.example,Relevant political data opportunity signal 3,funding raised sample 3,major donors where public sample 3,2026-04-12,https://example.com/source/labor-ballot-measure-campaign-list/3,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 4,jurisdiction sample 4,topic sample 4,support committee sample 4,opposition committee sample 4,treasurer public contact sample 4,https://labor-ballot-measure-campaign-list-sample-04.example,Relevant political data opportunity signal 4,funding raised sample 4,major donors where public sample 4,2026-04-13,https://example.com/source/labor-ballot-measure-campaign-list/4,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 5,jurisdiction sample 5,topic sample 5,support committee sample 5,opposition committee sample 5,treasurer public contact sample 5,https://labor-ballot-measure-campaign-list-sample-05.example,Relevant political data opportunity signal 5,funding raised sample 5,major donors where public sample 5,2026-04-14,https://example.com/source/labor-ballot-measure-campaign-list/5,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 6,jurisdiction sample 6,topic sample 6,support committee sample 6,opposition committee sample 6,treasurer public contact sample 6,https://labor-ballot-measure-campaign-list-sample-06.example,Relevant political data opportunity signal 6,funding raised sample 6,major donors where public sample 6,2026-04-15,https://example.com/source/labor-ballot-measure-campaign-list/6,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 7,jurisdiction sample 7,topic sample 7,support committee sample 7,opposition committee sample 7,treasurer public contact sample 7,https://labor-ballot-measure-campaign-list-sample-07.example,Relevant political data opportunity signal 7,funding raised sample 7,major donors where public sample 7,2026-04-16,https://example.com/source/labor-ballot-measure-campaign-list/7,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 8,jurisdiction sample 8,topic sample 8,support committee sample 8,opposition committee sample 8,treasurer public contact sample 8,https://labor-ballot-measure-campaign-list-sample-08.example,Relevant political data opportunity signal 8,funding raised sample 8,major donors where public sample 8,2026-04-17,https://example.com/source/labor-ballot-measure-campaign-list/8,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 9,jurisdiction sample 9,topic sample 9,support committee sample 9,opposition committee sample 9,treasurer public contact sample 9,https://labor-ballot-measure-campaign-list-sample-09.example,Relevant political data opportunity signal 9,funding raised sample 9,major donors where public sample 9,2026-04-18,https://example.com/source/labor-ballot-measure-campaign-list/9,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
measure name number sample 10,jurisdiction sample 10,topic sample 10,support committee sample 10,opposition committee sample 10,treasurer public contact sample 10,https://labor-ballot-measure-campaign-list-sample-10.example,Relevant political data opportunity signal 10,funding raised sample 10,major donors where public sample 10,2026-04-19,https://example.com/source/labor-ballot-measure-campaign-list/10,Sample row for Labor Ballot Measure Campaign List; replace with verified production data before outreach.
