pac_committee_name,treasurer,address,website,email,filing_jurisdiction,total_raised,total_spent,cash_on_hand,top_vendors,top_donors,source_filing_url,notes
pac committee name sample 1,treasurer sample 1,address sample 1,https://pac-and-committee-contact-list-sample-01.example,hello1@pac-and-committee-contact-list-sample-01.example,filing jurisdiction sample 1,total raised sample 1,total spent sample 1,cash on hand sample 1,top vendors sample 1,top donors sample 1,https://example.com/source/pac-and-committee-contact-list/1,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 2,treasurer sample 2,address sample 2,https://pac-and-committee-contact-list-sample-02.example,hello2@pac-and-committee-contact-list-sample-02.example,filing jurisdiction sample 2,total raised sample 2,total spent sample 2,cash on hand sample 2,top vendors sample 2,top donors sample 2,https://example.com/source/pac-and-committee-contact-list/2,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 3,treasurer sample 3,address sample 3,https://pac-and-committee-contact-list-sample-03.example,hello3@pac-and-committee-contact-list-sample-03.example,filing jurisdiction sample 3,total raised sample 3,total spent sample 3,cash on hand sample 3,top vendors sample 3,top donors sample 3,https://example.com/source/pac-and-committee-contact-list/3,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 4,treasurer sample 4,address sample 4,https://pac-and-committee-contact-list-sample-04.example,hello4@pac-and-committee-contact-list-sample-04.example,filing jurisdiction sample 4,total raised sample 4,total spent sample 4,cash on hand sample 4,top vendors sample 4,top donors sample 4,https://example.com/source/pac-and-committee-contact-list/4,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 5,treasurer sample 5,address sample 5,https://pac-and-committee-contact-list-sample-05.example,hello5@pac-and-committee-contact-list-sample-05.example,filing jurisdiction sample 5,total raised sample 5,total spent sample 5,cash on hand sample 5,top vendors sample 5,top donors sample 5,https://example.com/source/pac-and-committee-contact-list/5,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 6,treasurer sample 6,address sample 6,https://pac-and-committee-contact-list-sample-06.example,hello6@pac-and-committee-contact-list-sample-06.example,filing jurisdiction sample 6,total raised sample 6,total spent sample 6,cash on hand sample 6,top vendors sample 6,top donors sample 6,https://example.com/source/pac-and-committee-contact-list/6,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 7,treasurer sample 7,address sample 7,https://pac-and-committee-contact-list-sample-07.example,hello7@pac-and-committee-contact-list-sample-07.example,filing jurisdiction sample 7,total raised sample 7,total spent sample 7,cash on hand sample 7,top vendors sample 7,top donors sample 7,https://example.com/source/pac-and-committee-contact-list/7,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 8,treasurer sample 8,address sample 8,https://pac-and-committee-contact-list-sample-08.example,hello8@pac-and-committee-contact-list-sample-08.example,filing jurisdiction sample 8,total raised sample 8,total spent sample 8,cash on hand sample 8,top vendors sample 8,top donors sample 8,https://example.com/source/pac-and-committee-contact-list/8,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 9,treasurer sample 9,address sample 9,https://pac-and-committee-contact-list-sample-09.example,hello9@pac-and-committee-contact-list-sample-09.example,filing jurisdiction sample 9,total raised sample 9,total spent sample 9,cash on hand sample 9,top vendors sample 9,top donors sample 9,https://example.com/source/pac-and-committee-contact-list/9,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
pac committee name sample 10,treasurer sample 10,address sample 10,https://pac-and-committee-contact-list-sample-10.example,hello10@pac-and-committee-contact-list-sample-10.example,filing jurisdiction sample 10,total raised sample 10,total spent sample 10,cash on hand sample 10,top vendors sample 10,top donors sample 10,https://example.com/source/pac-and-committee-contact-list/10,Sample row for PAC and Committee Contact List; replace with verified production data before outreach.
