business_name,website,city,state,software_gap,booking_quote_status,contact_page,phone,public_email,source_url,notes
Tutors Sample 01,https://tutors-sample-01.example,Los Angeles,CA,Relevant software gap opportunity signal 1,Relevant software gap opportunity signal 1,https://tutors-sample-01.example/contact,(555) 010-100,hello1@tutors-sample-01.example,https://example.com/source/tutors-without-booking-pages/1,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 02,https://tutors-sample-02.example,San Diego,CA,Relevant software gap opportunity signal 2,Relevant software gap opportunity signal 2,https://tutors-sample-02.example/contact,(555) 011-101,hello2@tutors-sample-02.example,https://example.com/source/tutors-without-booking-pages/2,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 03,https://tutors-sample-03.example,San Jose,CA,Relevant software gap opportunity signal 3,Relevant software gap opportunity signal 3,https://tutors-sample-03.example/contact,(555) 012-102,hello3@tutors-sample-03.example,https://example.com/source/tutors-without-booking-pages/3,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 04,https://tutors-sample-04.example,Austin,TX,Relevant software gap opportunity signal 4,Relevant software gap opportunity signal 4,https://tutors-sample-04.example/contact,(555) 013-103,hello4@tutors-sample-04.example,https://example.com/source/tutors-without-booking-pages/4,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 05,https://tutors-sample-05.example,Denver,CO,Relevant software gap opportunity signal 5,Relevant software gap opportunity signal 5,https://tutors-sample-05.example/contact,(555) 014-104,hello5@tutors-sample-05.example,https://example.com/source/tutors-without-booking-pages/5,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 06,https://tutors-sample-06.example,Phoenix,AZ,Relevant software gap opportunity signal 6,Relevant software gap opportunity signal 6,https://tutors-sample-06.example/contact,(555) 015-105,hello6@tutors-sample-06.example,https://example.com/source/tutors-without-booking-pages/6,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 07,https://tutors-sample-07.example,Chicago,IL,Relevant software gap opportunity signal 7,Relevant software gap opportunity signal 7,https://tutors-sample-07.example/contact,(555) 016-106,hello7@tutors-sample-07.example,https://example.com/source/tutors-without-booking-pages/7,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 08,https://tutors-sample-08.example,Seattle,WA,Relevant software gap opportunity signal 8,Relevant software gap opportunity signal 8,https://tutors-sample-08.example/contact,(555) 017-107,hello8@tutors-sample-08.example,https://example.com/source/tutors-without-booking-pages/8,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 09,https://tutors-sample-09.example,Atlanta,GA,Relevant software gap opportunity signal 9,Relevant software gap opportunity signal 9,https://tutors-sample-09.example/contact,(555) 018-108,hello9@tutors-sample-09.example,https://example.com/source/tutors-without-booking-pages/9,Sample row for Tutors without booking pages; replace with verified production data before outreach.
Tutors Sample 10,https://tutors-sample-10.example,Miami,FL,Relevant software gap opportunity signal 10,Relevant software gap opportunity signal 10,https://tutors-sample-10.example/contact,(555) 019-109,hello10@tutors-sample-10.example,https://example.com/source/tutors-without-booking-pages/10,Sample row for Tutors without booking pages; replace with verified production data before outreach.
