business_name,website,city,state,ad_signal,keyword_market,phone,public_email,landing_page,source_url,notes
Med spas Sample 01,https://med-spas-sample-01.example,Los Angeles,CA,Paid traffic signal with weak conversion path,Los Angeles,(555) 010-100,hello1@med-spas-sample-01.example,https://med-spas-sample-01.example,https://example.com/source/med-spas-running-google-ads/1,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 02,https://med-spas-sample-02.example,San Diego,CA,Paid traffic signal with weak conversion path,San Diego,(555) 011-101,hello2@med-spas-sample-02.example,https://med-spas-sample-02.example,https://example.com/source/med-spas-running-google-ads/2,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 03,https://med-spas-sample-03.example,San Jose,CA,Paid traffic signal with weak conversion path,San Jose,(555) 012-102,hello3@med-spas-sample-03.example,https://med-spas-sample-03.example,https://example.com/source/med-spas-running-google-ads/3,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 04,https://med-spas-sample-04.example,Austin,TX,Paid traffic signal with weak conversion path,Austin,(555) 013-103,hello4@med-spas-sample-04.example,https://med-spas-sample-04.example,https://example.com/source/med-spas-running-google-ads/4,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 05,https://med-spas-sample-05.example,Denver,CO,Paid traffic signal with weak conversion path,Denver,(555) 014-104,hello5@med-spas-sample-05.example,https://med-spas-sample-05.example,https://example.com/source/med-spas-running-google-ads/5,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 06,https://med-spas-sample-06.example,Phoenix,AZ,Paid traffic signal with weak conversion path,Phoenix,(555) 015-105,hello6@med-spas-sample-06.example,https://med-spas-sample-06.example,https://example.com/source/med-spas-running-google-ads/6,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 07,https://med-spas-sample-07.example,Chicago,IL,Paid traffic signal with weak conversion path,Chicago,(555) 016-106,hello7@med-spas-sample-07.example,https://med-spas-sample-07.example,https://example.com/source/med-spas-running-google-ads/7,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 08,https://med-spas-sample-08.example,Seattle,WA,Paid traffic signal with weak conversion path,Seattle,(555) 017-107,hello8@med-spas-sample-08.example,https://med-spas-sample-08.example,https://example.com/source/med-spas-running-google-ads/8,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 09,https://med-spas-sample-09.example,Atlanta,GA,Paid traffic signal with weak conversion path,Atlanta,(555) 018-108,hello9@med-spas-sample-09.example,https://med-spas-sample-09.example,https://example.com/source/med-spas-running-google-ads/9,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
Med spas Sample 10,https://med-spas-sample-10.example,Miami,FL,Paid traffic signal with weak conversion path,Miami,(555) 019-109,hello10@med-spas-sample-10.example,https://med-spas-sample-10.example,https://example.com/source/med-spas-running-google-ads/10,Sample row for Med spas running Google Ads; replace with verified production data before outreach.
