business_name,website,city,state,ad_signal,keyword_market,phone,public_email,landing_page,source_url,notes
Immigration lawyers Sample 01,https://immigration-lawyers-sample-01.example,Los Angeles,CA,Paid traffic signal with weak conversion path,Los Angeles,(555) 010-100,hello1@immigration-lawyers-sample-01.example,https://immigration-lawyers-sample-01.example,https://example.com/source/immigration-lawyers-running-google-ads/1,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 02,https://immigration-lawyers-sample-02.example,San Diego,CA,Paid traffic signal with weak conversion path,San Diego,(555) 011-101,hello2@immigration-lawyers-sample-02.example,https://immigration-lawyers-sample-02.example,https://example.com/source/immigration-lawyers-running-google-ads/2,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 03,https://immigration-lawyers-sample-03.example,San Jose,CA,Paid traffic signal with weak conversion path,San Jose,(555) 012-102,hello3@immigration-lawyers-sample-03.example,https://immigration-lawyers-sample-03.example,https://example.com/source/immigration-lawyers-running-google-ads/3,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 04,https://immigration-lawyers-sample-04.example,Austin,TX,Paid traffic signal with weak conversion path,Austin,(555) 013-103,hello4@immigration-lawyers-sample-04.example,https://immigration-lawyers-sample-04.example,https://example.com/source/immigration-lawyers-running-google-ads/4,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 05,https://immigration-lawyers-sample-05.example,Denver,CO,Paid traffic signal with weak conversion path,Denver,(555) 014-104,hello5@immigration-lawyers-sample-05.example,https://immigration-lawyers-sample-05.example,https://example.com/source/immigration-lawyers-running-google-ads/5,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 06,https://immigration-lawyers-sample-06.example,Phoenix,AZ,Paid traffic signal with weak conversion path,Phoenix,(555) 015-105,hello6@immigration-lawyers-sample-06.example,https://immigration-lawyers-sample-06.example,https://example.com/source/immigration-lawyers-running-google-ads/6,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 07,https://immigration-lawyers-sample-07.example,Chicago,IL,Paid traffic signal with weak conversion path,Chicago,(555) 016-106,hello7@immigration-lawyers-sample-07.example,https://immigration-lawyers-sample-07.example,https://example.com/source/immigration-lawyers-running-google-ads/7,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 08,https://immigration-lawyers-sample-08.example,Seattle,WA,Paid traffic signal with weak conversion path,Seattle,(555) 017-107,hello8@immigration-lawyers-sample-08.example,https://immigration-lawyers-sample-08.example,https://example.com/source/immigration-lawyers-running-google-ads/8,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 09,https://immigration-lawyers-sample-09.example,Atlanta,GA,Paid traffic signal with weak conversion path,Atlanta,(555) 018-108,hello9@immigration-lawyers-sample-09.example,https://immigration-lawyers-sample-09.example,https://example.com/source/immigration-lawyers-running-google-ads/9,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
Immigration lawyers Sample 10,https://immigration-lawyers-sample-10.example,Miami,FL,Paid traffic signal with weak conversion path,Miami,(555) 019-109,hello10@immigration-lawyers-sample-10.example,https://immigration-lawyers-sample-10.example,https://example.com/source/immigration-lawyers-running-google-ads/10,Sample row for Immigration lawyers running Google Ads; replace with verified production data before outreach.
