organization_name,website,city,state,sponsorship_type,sponsor_page_media_kit,contact_page,public_email,phone,audience_event_signal,source_url,notes
organization name sample 1,https://youth-sports-leagues-accepting-sponsors-sample-01.example,Los Angeles,CA,sponsorship type sample 1,sponsor page media kit sample 1,https://youth-sports-leagues-accepting-sponsors-sample-01.example/contact,hello1@youth-sports-leagues-accepting-sponsors-sample-01.example,(555) 010-100,Relevant local sponsorship opportunity signal 1,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/1,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 2,https://youth-sports-leagues-accepting-sponsors-sample-02.example,San Diego,CA,sponsorship type sample 2,sponsor page media kit sample 2,https://youth-sports-leagues-accepting-sponsors-sample-02.example/contact,hello2@youth-sports-leagues-accepting-sponsors-sample-02.example,(555) 011-101,Relevant local sponsorship opportunity signal 2,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/2,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 3,https://youth-sports-leagues-accepting-sponsors-sample-03.example,San Jose,CA,sponsorship type sample 3,sponsor page media kit sample 3,https://youth-sports-leagues-accepting-sponsors-sample-03.example/contact,hello3@youth-sports-leagues-accepting-sponsors-sample-03.example,(555) 012-102,Relevant local sponsorship opportunity signal 3,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/3,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 4,https://youth-sports-leagues-accepting-sponsors-sample-04.example,Austin,TX,sponsorship type sample 4,sponsor page media kit sample 4,https://youth-sports-leagues-accepting-sponsors-sample-04.example/contact,hello4@youth-sports-leagues-accepting-sponsors-sample-04.example,(555) 013-103,Relevant local sponsorship opportunity signal 4,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/4,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 5,https://youth-sports-leagues-accepting-sponsors-sample-05.example,Denver,CO,sponsorship type sample 5,sponsor page media kit sample 5,https://youth-sports-leagues-accepting-sponsors-sample-05.example/contact,hello5@youth-sports-leagues-accepting-sponsors-sample-05.example,(555) 014-104,Relevant local sponsorship opportunity signal 5,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/5,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 6,https://youth-sports-leagues-accepting-sponsors-sample-06.example,Phoenix,AZ,sponsorship type sample 6,sponsor page media kit sample 6,https://youth-sports-leagues-accepting-sponsors-sample-06.example/contact,hello6@youth-sports-leagues-accepting-sponsors-sample-06.example,(555) 015-105,Relevant local sponsorship opportunity signal 6,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/6,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 7,https://youth-sports-leagues-accepting-sponsors-sample-07.example,Chicago,IL,sponsorship type sample 7,sponsor page media kit sample 7,https://youth-sports-leagues-accepting-sponsors-sample-07.example/contact,hello7@youth-sports-leagues-accepting-sponsors-sample-07.example,(555) 016-106,Relevant local sponsorship opportunity signal 7,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/7,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 8,https://youth-sports-leagues-accepting-sponsors-sample-08.example,Seattle,WA,sponsorship type sample 8,sponsor page media kit sample 8,https://youth-sports-leagues-accepting-sponsors-sample-08.example/contact,hello8@youth-sports-leagues-accepting-sponsors-sample-08.example,(555) 017-107,Relevant local sponsorship opportunity signal 8,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/8,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 9,https://youth-sports-leagues-accepting-sponsors-sample-09.example,Atlanta,GA,sponsorship type sample 9,sponsor page media kit sample 9,https://youth-sports-leagues-accepting-sponsors-sample-09.example/contact,hello9@youth-sports-leagues-accepting-sponsors-sample-09.example,(555) 018-108,Relevant local sponsorship opportunity signal 9,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/9,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
organization name sample 10,https://youth-sports-leagues-accepting-sponsors-sample-10.example,Miami,FL,sponsorship type sample 10,sponsor page media kit sample 10,https://youth-sports-leagues-accepting-sponsors-sample-10.example/contact,hello10@youth-sports-leagues-accepting-sponsors-sample-10.example,(555) 019-109,Relevant local sponsorship opportunity signal 10,https://example.com/source/500-youth-sports-leagues-accepting-sponsors/10,Sample row for 500 Youth Sports Leagues Accepting Sponsors; replace with verified production data before outreach.
