business_name,claimed_website_source_profile,city,state,category,no_site_signal,source_profile,contact_page_public_contact_path,phone,public_email,source_url,notes
Businesses Sample 01,https://businesses-sample-01.example,Los Angeles,CA,Platform Migration,Relevant platform migration opportunity signal 1,https://example.com/source/500-businesses-using-facebook-as-their-only-website/1,https://businesses-sample-01.example/contact,(555) 010-100,hello1@businesses-sample-01.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/1,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 02,https://businesses-sample-02.example,San Diego,CA,Platform Migration,Relevant platform migration opportunity signal 2,https://example.com/source/500-businesses-using-facebook-as-their-only-website/2,https://businesses-sample-02.example/contact,(555) 011-101,hello2@businesses-sample-02.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/2,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 03,https://businesses-sample-03.example,San Jose,CA,Platform Migration,Relevant platform migration opportunity signal 3,https://example.com/source/500-businesses-using-facebook-as-their-only-website/3,https://businesses-sample-03.example/contact,(555) 012-102,hello3@businesses-sample-03.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/3,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 04,https://businesses-sample-04.example,Austin,TX,Platform Migration,Relevant platform migration opportunity signal 4,https://example.com/source/500-businesses-using-facebook-as-their-only-website/4,https://businesses-sample-04.example/contact,(555) 013-103,hello4@businesses-sample-04.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/4,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 05,https://businesses-sample-05.example,Denver,CO,Platform Migration,Relevant platform migration opportunity signal 5,https://example.com/source/500-businesses-using-facebook-as-their-only-website/5,https://businesses-sample-05.example/contact,(555) 014-104,hello5@businesses-sample-05.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/5,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 06,https://businesses-sample-06.example,Phoenix,AZ,Platform Migration,Relevant platform migration opportunity signal 6,https://example.com/source/500-businesses-using-facebook-as-their-only-website/6,https://businesses-sample-06.example/contact,(555) 015-105,hello6@businesses-sample-06.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/6,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 07,https://businesses-sample-07.example,Chicago,IL,Platform Migration,Relevant platform migration opportunity signal 7,https://example.com/source/500-businesses-using-facebook-as-their-only-website/7,https://businesses-sample-07.example/contact,(555) 016-106,hello7@businesses-sample-07.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/7,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 08,https://businesses-sample-08.example,Seattle,WA,Platform Migration,Relevant platform migration opportunity signal 8,https://example.com/source/500-businesses-using-facebook-as-their-only-website/8,https://businesses-sample-08.example/contact,(555) 017-107,hello8@businesses-sample-08.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/8,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 09,https://businesses-sample-09.example,Atlanta,GA,Platform Migration,Relevant platform migration opportunity signal 9,https://example.com/source/500-businesses-using-facebook-as-their-only-website/9,https://businesses-sample-09.example/contact,(555) 018-108,hello9@businesses-sample-09.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/9,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
Businesses Sample 10,https://businesses-sample-10.example,Miami,FL,Platform Migration,Relevant platform migration opportunity signal 10,https://example.com/source/500-businesses-using-facebook-as-their-only-website/10,https://businesses-sample-10.example/contact,(555) 019-109,hello10@businesses-sample-10.example,https://example.com/source/500-businesses-using-facebook-as-their-only-website/10,Sample row for 500 Businesses Using Facebook as Their Only Website; replace with verified production data before outreach.
