candidate_name,office,jurisdiction,district,party_if_public,filing_status,incumbent_challenger_status,website,campaign_email,donation_link,social_links,election_date,source_url,notes
2026-04-10,office sample 1,jurisdiction sample 1,district sample 1,party if public sample 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,https://incumbent-reelection-campaign-list-sample-01.example,hello1@incumbent-reelection-campaign-list-sample-01.example,Relevant political data opportunity signal 1,https://www.instagram.com/incumbent-reelection-campaign-list-sample-01,2026-04-10,https://example.com/source/incumbent-reelection-campaign-list/1,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-11,office sample 2,jurisdiction sample 2,district sample 2,party if public sample 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,https://incumbent-reelection-campaign-list-sample-02.example,hello2@incumbent-reelection-campaign-list-sample-02.example,Relevant political data opportunity signal 2,https://www.instagram.com/incumbent-reelection-campaign-list-sample-02,2026-04-11,https://example.com/source/incumbent-reelection-campaign-list/2,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-12,office sample 3,jurisdiction sample 3,district sample 3,party if public sample 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,https://incumbent-reelection-campaign-list-sample-03.example,hello3@incumbent-reelection-campaign-list-sample-03.example,Relevant political data opportunity signal 3,https://www.instagram.com/incumbent-reelection-campaign-list-sample-03,2026-04-12,https://example.com/source/incumbent-reelection-campaign-list/3,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-13,office sample 4,jurisdiction sample 4,district sample 4,party if public sample 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,https://incumbent-reelection-campaign-list-sample-04.example,hello4@incumbent-reelection-campaign-list-sample-04.example,Relevant political data opportunity signal 4,https://www.instagram.com/incumbent-reelection-campaign-list-sample-04,2026-04-13,https://example.com/source/incumbent-reelection-campaign-list/4,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-14,office sample 5,jurisdiction sample 5,district sample 5,party if public sample 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,https://incumbent-reelection-campaign-list-sample-05.example,hello5@incumbent-reelection-campaign-list-sample-05.example,Relevant political data opportunity signal 5,https://www.instagram.com/incumbent-reelection-campaign-list-sample-05,2026-04-14,https://example.com/source/incumbent-reelection-campaign-list/5,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-15,office sample 6,jurisdiction sample 6,district sample 6,party if public sample 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,https://incumbent-reelection-campaign-list-sample-06.example,hello6@incumbent-reelection-campaign-list-sample-06.example,Relevant political data opportunity signal 6,https://www.instagram.com/incumbent-reelection-campaign-list-sample-06,2026-04-15,https://example.com/source/incumbent-reelection-campaign-list/6,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-16,office sample 7,jurisdiction sample 7,district sample 7,party if public sample 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,https://incumbent-reelection-campaign-list-sample-07.example,hello7@incumbent-reelection-campaign-list-sample-07.example,Relevant political data opportunity signal 7,https://www.instagram.com/incumbent-reelection-campaign-list-sample-07,2026-04-16,https://example.com/source/incumbent-reelection-campaign-list/7,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-17,office sample 8,jurisdiction sample 8,district sample 8,party if public sample 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,https://incumbent-reelection-campaign-list-sample-08.example,hello8@incumbent-reelection-campaign-list-sample-08.example,Relevant political data opportunity signal 8,https://www.instagram.com/incumbent-reelection-campaign-list-sample-08,2026-04-17,https://example.com/source/incumbent-reelection-campaign-list/8,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-18,office sample 9,jurisdiction sample 9,district sample 9,party if public sample 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,https://incumbent-reelection-campaign-list-sample-09.example,hello9@incumbent-reelection-campaign-list-sample-09.example,Relevant political data opportunity signal 9,https://www.instagram.com/incumbent-reelection-campaign-list-sample-09,2026-04-18,https://example.com/source/incumbent-reelection-campaign-list/9,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
2026-04-19,office sample 10,jurisdiction sample 10,district sample 10,party if public sample 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,https://incumbent-reelection-campaign-list-sample-10.example,hello10@incumbent-reelection-campaign-list-sample-10.example,Relevant political data opportunity signal 10,https://www.instagram.com/incumbent-reelection-campaign-list-sample-10,2026-04-19,https://example.com/source/incumbent-reelection-campaign-list/10,Sample row for Incumbent Reelection Campaign List; replace with verified production data before outreach.
