business_creator_name,website_profile_url,city,state_market,category,website_gap,booking_intake_gap,ad_spend_activity_signal,public_contact_path,phone,source_urls,agent_stats_score,notes
business creator name sample 1,https://property-managers-sample-01.example,Los Angeles,Los Angeles,Agent Stats,https://property-managers-sample-01.example,Relevant agent stats opportunity signal 1,Relevant agent stats opportunity signal 1,https://property-managers-sample-01.example/contact,(555) 010-100,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/1,78,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 2,https://property-managers-sample-02.example,San Diego,San Diego,Agent Stats,https://property-managers-sample-02.example,Relevant agent stats opportunity signal 2,Relevant agent stats opportunity signal 2,https://property-managers-sample-02.example/contact,(555) 011-101,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/2,79,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 3,https://property-managers-sample-03.example,San Jose,San Jose,Agent Stats,https://property-managers-sample-03.example,Relevant agent stats opportunity signal 3,Relevant agent stats opportunity signal 3,https://property-managers-sample-03.example/contact,(555) 012-102,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/3,80,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 4,https://property-managers-sample-04.example,Austin,Austin,Agent Stats,https://property-managers-sample-04.example,Relevant agent stats opportunity signal 4,Relevant agent stats opportunity signal 4,https://property-managers-sample-04.example/contact,(555) 013-103,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/4,81,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 5,https://property-managers-sample-05.example,Denver,Denver,Agent Stats,https://property-managers-sample-05.example,Relevant agent stats opportunity signal 5,Relevant agent stats opportunity signal 5,https://property-managers-sample-05.example/contact,(555) 014-104,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/5,82,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 6,https://property-managers-sample-06.example,Phoenix,Phoenix,Agent Stats,https://property-managers-sample-06.example,Relevant agent stats opportunity signal 6,Relevant agent stats opportunity signal 6,https://property-managers-sample-06.example/contact,(555) 015-105,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/6,83,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 7,https://property-managers-sample-07.example,Chicago,Chicago,Agent Stats,https://property-managers-sample-07.example,Relevant agent stats opportunity signal 7,Relevant agent stats opportunity signal 7,https://property-managers-sample-07.example/contact,(555) 016-106,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/7,84,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 8,https://property-managers-sample-08.example,Seattle,Seattle,Agent Stats,https://property-managers-sample-08.example,Relevant agent stats opportunity signal 8,Relevant agent stats opportunity signal 8,https://property-managers-sample-08.example/contact,(555) 017-107,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/8,85,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 9,https://property-managers-sample-09.example,Atlanta,Atlanta,Agent Stats,https://property-managers-sample-09.example,Relevant agent stats opportunity signal 9,Relevant agent stats opportunity signal 9,https://property-managers-sample-09.example/contact,(555) 018-108,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/9,86,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
business creator name sample 10,https://property-managers-sample-10.example,Miami,Miami,Agent Stats,https://property-managers-sample-10.example,Relevant agent stats opportunity signal 10,Relevant agent stats opportunity signal 10,https://property-managers-sample-10.example/contact,(555) 019-109,https://example.com/source/500-property-managers-with-no-maintenance-request-portal-agent-stats/10,87,Sample row for 500 Property Managers With No Maintenance Request Portal - Agent Stats; replace with verified production data before outreach.
