business_name,website,city,state,category,issue_spotted,contact_page,phone,public_email,source_url,notes
Electricians Sample 01,https://electricians-sample-01.example,Los Angeles,CA,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-01.example/contact,(555) 010-100,hello1@electricians-sample-01.example,https://example.com/source/electricians-with-outdated-websites/1,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 02,https://electricians-sample-02.example,San Diego,CA,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-02.example/contact,(555) 011-101,hello2@electricians-sample-02.example,https://example.com/source/electricians-with-outdated-websites/2,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 03,https://electricians-sample-03.example,San Jose,CA,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-03.example/contact,(555) 012-102,hello3@electricians-sample-03.example,https://example.com/source/electricians-with-outdated-websites/3,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 04,https://electricians-sample-04.example,Austin,TX,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-04.example/contact,(555) 013-103,hello4@electricians-sample-04.example,https://example.com/source/electricians-with-outdated-websites/4,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 05,https://electricians-sample-05.example,Denver,CO,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-05.example/contact,(555) 014-104,hello5@electricians-sample-05.example,https://example.com/source/electricians-with-outdated-websites/5,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 06,https://electricians-sample-06.example,Phoenix,AZ,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-06.example/contact,(555) 015-105,hello6@electricians-sample-06.example,https://example.com/source/electricians-with-outdated-websites/6,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 07,https://electricians-sample-07.example,Chicago,IL,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-07.example/contact,(555) 016-106,hello7@electricians-sample-07.example,https://example.com/source/electricians-with-outdated-websites/7,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 08,https://electricians-sample-08.example,Seattle,WA,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-08.example/contact,(555) 017-107,hello8@electricians-sample-08.example,https://example.com/source/electricians-with-outdated-websites/8,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 09,https://electricians-sample-09.example,Atlanta,GA,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-09.example/contact,(555) 018-108,hello9@electricians-sample-09.example,https://example.com/source/electricians-with-outdated-websites/9,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
Electricians Sample 10,https://electricians-sample-10.example,Miami,FL,Website Opportunity,Outdated site signals visible in public web review,https://electricians-sample-10.example/contact,(555) 019-109,hello10@electricians-sample-10.example,https://example.com/source/electricians-with-outdated-websites/10,Sample row for Electricians with outdated websites; replace with verified production data before outreach.
