business_name,website,city,state,automation_gap,intake_lead_capture_signal,contact_page,phone,public_email,source_url,notes
Home Service Companies Sample 01,https://home-service-companies-sample-01.example,Los Angeles,CA,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-01.example/contact,(555) 010-100,hello1@home-service-companies-sample-01.example,https://example.com/source/500-home-service-companies-missing-quote-automation/1,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 02,https://home-service-companies-sample-02.example,San Diego,CA,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-02.example/contact,(555) 011-101,hello2@home-service-companies-sample-02.example,https://example.com/source/500-home-service-companies-missing-quote-automation/2,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 03,https://home-service-companies-sample-03.example,San Jose,CA,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-03.example/contact,(555) 012-102,hello3@home-service-companies-sample-03.example,https://example.com/source/500-home-service-companies-missing-quote-automation/3,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 04,https://home-service-companies-sample-04.example,Austin,TX,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-04.example/contact,(555) 013-103,hello4@home-service-companies-sample-04.example,https://example.com/source/500-home-service-companies-missing-quote-automation/4,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 05,https://home-service-companies-sample-05.example,Denver,CO,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-05.example/contact,(555) 014-104,hello5@home-service-companies-sample-05.example,https://example.com/source/500-home-service-companies-missing-quote-automation/5,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 06,https://home-service-companies-sample-06.example,Phoenix,AZ,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-06.example/contact,(555) 015-105,hello6@home-service-companies-sample-06.example,https://example.com/source/500-home-service-companies-missing-quote-automation/6,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 07,https://home-service-companies-sample-07.example,Chicago,IL,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-07.example/contact,(555) 016-106,hello7@home-service-companies-sample-07.example,https://example.com/source/500-home-service-companies-missing-quote-automation/7,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 08,https://home-service-companies-sample-08.example,Seattle,WA,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-08.example/contact,(555) 017-107,hello8@home-service-companies-sample-08.example,https://example.com/source/500-home-service-companies-missing-quote-automation/8,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 09,https://home-service-companies-sample-09.example,Atlanta,GA,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-09.example/contact,(555) 018-108,hello9@home-service-companies-sample-09.example,https://example.com/source/500-home-service-companies-missing-quote-automation/9,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
Home Service Companies Sample 10,https://home-service-companies-sample-10.example,Miami,FL,Expected conversion path appears missing,Expected conversion path appears missing,https://home-service-companies-sample-10.example/contact,(555) 019-109,hello10@home-service-companies-sample-10.example,https://example.com/source/500-home-service-companies-missing-quote-automation/10,Sample row for 500 Home Service Companies Missing Quote Automation; replace with verified production data before outreach.
