business_name,website,city,state,automation_gap,intake_lead_capture_signal,contact_page,phone,public_email,source_url,notes
Service Businesses Sample 01,https://service-businesses-sample-01.example,Los Angeles,CA,Relevant ai automation opportunity opportunity signal 1,Relevant ai automation opportunity opportunity signal 1,https://service-businesses-sample-01.example/contact,(555) 010-100,hello1@service-businesses-sample-01.example,https://example.com/source/500-service-businesses-without-quote-automation/1,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 02,https://service-businesses-sample-02.example,San Diego,CA,Relevant ai automation opportunity opportunity signal 2,Relevant ai automation opportunity opportunity signal 2,https://service-businesses-sample-02.example/contact,(555) 011-101,hello2@service-businesses-sample-02.example,https://example.com/source/500-service-businesses-without-quote-automation/2,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 03,https://service-businesses-sample-03.example,San Jose,CA,Relevant ai automation opportunity opportunity signal 3,Relevant ai automation opportunity opportunity signal 3,https://service-businesses-sample-03.example/contact,(555) 012-102,hello3@service-businesses-sample-03.example,https://example.com/source/500-service-businesses-without-quote-automation/3,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 04,https://service-businesses-sample-04.example,Austin,TX,Relevant ai automation opportunity opportunity signal 4,Relevant ai automation opportunity opportunity signal 4,https://service-businesses-sample-04.example/contact,(555) 013-103,hello4@service-businesses-sample-04.example,https://example.com/source/500-service-businesses-without-quote-automation/4,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 05,https://service-businesses-sample-05.example,Denver,CO,Relevant ai automation opportunity opportunity signal 5,Relevant ai automation opportunity opportunity signal 5,https://service-businesses-sample-05.example/contact,(555) 014-104,hello5@service-businesses-sample-05.example,https://example.com/source/500-service-businesses-without-quote-automation/5,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 06,https://service-businesses-sample-06.example,Phoenix,AZ,Relevant ai automation opportunity opportunity signal 6,Relevant ai automation opportunity opportunity signal 6,https://service-businesses-sample-06.example/contact,(555) 015-105,hello6@service-businesses-sample-06.example,https://example.com/source/500-service-businesses-without-quote-automation/6,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 07,https://service-businesses-sample-07.example,Chicago,IL,Relevant ai automation opportunity opportunity signal 7,Relevant ai automation opportunity opportunity signal 7,https://service-businesses-sample-07.example/contact,(555) 016-106,hello7@service-businesses-sample-07.example,https://example.com/source/500-service-businesses-without-quote-automation/7,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 08,https://service-businesses-sample-08.example,Seattle,WA,Relevant ai automation opportunity opportunity signal 8,Relevant ai automation opportunity opportunity signal 8,https://service-businesses-sample-08.example/contact,(555) 017-107,hello8@service-businesses-sample-08.example,https://example.com/source/500-service-businesses-without-quote-automation/8,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 09,https://service-businesses-sample-09.example,Atlanta,GA,Relevant ai automation opportunity opportunity signal 9,Relevant ai automation opportunity opportunity signal 9,https://service-businesses-sample-09.example/contact,(555) 018-108,hello9@service-businesses-sample-09.example,https://example.com/source/500-service-businesses-without-quote-automation/9,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
Service Businesses Sample 10,https://service-businesses-sample-10.example,Miami,FL,Relevant ai automation opportunity opportunity signal 10,Relevant ai automation opportunity opportunity signal 10,https://service-businesses-sample-10.example/contact,(555) 019-109,hello10@service-businesses-sample-10.example,https://example.com/source/500-service-businesses-without-quote-automation/10,Sample row for 500 Service Businesses Without Quote Automation; replace with verified production data before outreach.
