business_name,website_source_profile,city,state,category,rating_signal,review_count,review_issue,recent_review_response_signal,contact_page,phone,public_email,source_url,notes
Businesses Sample 01,https://businesses-sample-01.example,Los Angeles,CA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 1,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-01.example/contact,(555) 010-100,hello1@businesses-sample-01.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/1,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 02,https://businesses-sample-02.example,San Diego,CA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 2,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-02.example/contact,(555) 011-101,hello2@businesses-sample-02.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/2,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 03,https://businesses-sample-03.example,San Jose,CA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 3,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-03.example/contact,(555) 012-102,hello3@businesses-sample-03.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/3,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 04,https://businesses-sample-04.example,Austin,TX,Reputation Signal,Review/reputation follow-up opportunity,review count sample 4,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-04.example/contact,(555) 013-103,hello4@businesses-sample-04.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/4,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 05,https://businesses-sample-05.example,Denver,CO,Reputation Signal,Review/reputation follow-up opportunity,review count sample 5,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-05.example/contact,(555) 014-104,hello5@businesses-sample-05.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/5,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 06,https://businesses-sample-06.example,Phoenix,AZ,Reputation Signal,Review/reputation follow-up opportunity,review count sample 6,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-06.example/contact,(555) 015-105,hello6@businesses-sample-06.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/6,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 07,https://businesses-sample-07.example,Chicago,IL,Reputation Signal,Review/reputation follow-up opportunity,review count sample 7,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-07.example/contact,(555) 016-106,hello7@businesses-sample-07.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/7,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 08,https://businesses-sample-08.example,Seattle,WA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 8,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-08.example/contact,(555) 017-107,hello8@businesses-sample-08.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/8,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 09,https://businesses-sample-09.example,Atlanta,GA,Reputation Signal,Review/reputation follow-up opportunity,review count sample 9,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-09.example/contact,(555) 018-108,hello9@businesses-sample-09.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/9,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
Businesses Sample 10,https://businesses-sample-10.example,Miami,FL,Reputation Signal,Review/reputation follow-up opportunity,review count sample 10,Review/reputation follow-up opportunity,Review/reputation follow-up opportunity,https://businesses-sample-10.example/contact,(555) 019-109,hello10@businesses-sample-10.example,https://example.com/source/500-businesses-with-great-reviews-but-weak-website/10,Sample row for 500 Businesses With Great Reviews But Weak Website; replace with verified production data before outreach.
