agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://local-government-vendor-portals-sample-01.example,Los Angeles,CA,https://local-government-vendor-portals-sample-01.example/contact,(555) 010-100,hello1@local-government-vendor-portals-sample-01.example,https://example.com/source/local-government-vendor-portals/1,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://local-government-vendor-portals-sample-02.example,San Diego,CA,https://local-government-vendor-portals-sample-02.example/contact,(555) 011-101,hello2@local-government-vendor-portals-sample-02.example,https://example.com/source/local-government-vendor-portals/2,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://local-government-vendor-portals-sample-03.example,San Jose,CA,https://local-government-vendor-portals-sample-03.example/contact,(555) 012-102,hello3@local-government-vendor-portals-sample-03.example,https://example.com/source/local-government-vendor-portals/3,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://local-government-vendor-portals-sample-04.example,Austin,TX,https://local-government-vendor-portals-sample-04.example/contact,(555) 013-103,hello4@local-government-vendor-portals-sample-04.example,https://example.com/source/local-government-vendor-portals/4,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://local-government-vendor-portals-sample-05.example,Denver,CO,https://local-government-vendor-portals-sample-05.example/contact,(555) 014-104,hello5@local-government-vendor-portals-sample-05.example,https://example.com/source/local-government-vendor-portals/5,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://local-government-vendor-portals-sample-06.example,Phoenix,AZ,https://local-government-vendor-portals-sample-06.example/contact,(555) 015-105,hello6@local-government-vendor-portals-sample-06.example,https://example.com/source/local-government-vendor-portals/6,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://local-government-vendor-portals-sample-07.example,Chicago,IL,https://local-government-vendor-portals-sample-07.example/contact,(555) 016-106,hello7@local-government-vendor-portals-sample-07.example,https://example.com/source/local-government-vendor-portals/7,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://local-government-vendor-portals-sample-08.example,Seattle,WA,https://local-government-vendor-portals-sample-08.example/contact,(555) 017-107,hello8@local-government-vendor-portals-sample-08.example,https://example.com/source/local-government-vendor-portals/8,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://local-government-vendor-portals-sample-09.example,Atlanta,GA,https://local-government-vendor-portals-sample-09.example/contact,(555) 018-108,hello9@local-government-vendor-portals-sample-09.example,https://example.com/source/local-government-vendor-portals/9,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://local-government-vendor-portals-sample-10.example,Miami,FL,https://local-government-vendor-portals-sample-10.example/contact,(555) 019-109,hello10@local-government-vendor-portals-sample-10.example,https://example.com/source/local-government-vendor-portals/10,Government and Public Organization,Sample row for Local government vendor portals; replace with verified production data before outreach.
