company_name,website,city,state,service_type,lead_value_signal,conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
Tax Resolution Firms Sample 01,https://tax-resolution-firms-sample-01.example,Los Angeles,CA,service type sample 1,Relevant professional services opportunity signal 1,Relevant professional services opportunity signal 1,(555) 010-100,hello1@tax-resolution-firms-sample-01.example,https://tax-resolution-firms-sample-01.example/contact,https://example.com/source/500-tax-resolution-firms/1,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 02,https://tax-resolution-firms-sample-02.example,San Diego,CA,service type sample 2,Relevant professional services opportunity signal 2,Relevant professional services opportunity signal 2,(555) 011-101,hello2@tax-resolution-firms-sample-02.example,https://tax-resolution-firms-sample-02.example/contact,https://example.com/source/500-tax-resolution-firms/2,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 03,https://tax-resolution-firms-sample-03.example,San Jose,CA,service type sample 3,Relevant professional services opportunity signal 3,Relevant professional services opportunity signal 3,(555) 012-102,hello3@tax-resolution-firms-sample-03.example,https://tax-resolution-firms-sample-03.example/contact,https://example.com/source/500-tax-resolution-firms/3,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 04,https://tax-resolution-firms-sample-04.example,Austin,TX,service type sample 4,Relevant professional services opportunity signal 4,Relevant professional services opportunity signal 4,(555) 013-103,hello4@tax-resolution-firms-sample-04.example,https://tax-resolution-firms-sample-04.example/contact,https://example.com/source/500-tax-resolution-firms/4,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 05,https://tax-resolution-firms-sample-05.example,Denver,CO,service type sample 5,Relevant professional services opportunity signal 5,Relevant professional services opportunity signal 5,(555) 014-104,hello5@tax-resolution-firms-sample-05.example,https://tax-resolution-firms-sample-05.example/contact,https://example.com/source/500-tax-resolution-firms/5,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 06,https://tax-resolution-firms-sample-06.example,Phoenix,AZ,service type sample 6,Relevant professional services opportunity signal 6,Relevant professional services opportunity signal 6,(555) 015-105,hello6@tax-resolution-firms-sample-06.example,https://tax-resolution-firms-sample-06.example/contact,https://example.com/source/500-tax-resolution-firms/6,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 07,https://tax-resolution-firms-sample-07.example,Chicago,IL,service type sample 7,Relevant professional services opportunity signal 7,Relevant professional services opportunity signal 7,(555) 016-106,hello7@tax-resolution-firms-sample-07.example,https://tax-resolution-firms-sample-07.example/contact,https://example.com/source/500-tax-resolution-firms/7,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 08,https://tax-resolution-firms-sample-08.example,Seattle,WA,service type sample 8,Relevant professional services opportunity signal 8,Relevant professional services opportunity signal 8,(555) 017-107,hello8@tax-resolution-firms-sample-08.example,https://tax-resolution-firms-sample-08.example/contact,https://example.com/source/500-tax-resolution-firms/8,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 09,https://tax-resolution-firms-sample-09.example,Atlanta,GA,service type sample 9,Relevant professional services opportunity signal 9,Relevant professional services opportunity signal 9,(555) 018-108,hello9@tax-resolution-firms-sample-09.example,https://tax-resolution-firms-sample-09.example/contact,https://example.com/source/500-tax-resolution-firms/9,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
Tax Resolution Firms Sample 10,https://tax-resolution-firms-sample-10.example,Miami,FL,service type sample 10,Relevant professional services opportunity signal 10,Relevant professional services opportunity signal 10,(555) 019-109,hello10@tax-resolution-firms-sample-10.example,https://tax-resolution-firms-sample-10.example/contact,https://example.com/source/500-tax-resolution-firms/10,Sample row for 500 Tax Resolution Firms; replace with verified production data before outreach.
