campaign_name,candidate,office,website,problem_labels,no_donation_button_signal,slow_site_signal,mobile_friendly_status,email_capture_status,volunteer_form_status,broken_links_signal,privacy_policy_status,spanish_page_status,contact_email,source_url,notes
campaign name sample 1,2026-04-10,office sample 1,https://campaign-website-opportunity-list-sample-01.example,problem labels sample 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,hello1@campaign-website-opportunity-list-sample-01.example,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,Relevant political data opportunity signal 1,hello1@campaign-website-opportunity-list-sample-01.example,https://example.com/source/campaign-website-opportunity-list/1,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 2,2026-04-11,office sample 2,https://campaign-website-opportunity-list-sample-02.example,problem labels sample 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,hello2@campaign-website-opportunity-list-sample-02.example,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,Relevant political data opportunity signal 2,hello2@campaign-website-opportunity-list-sample-02.example,https://example.com/source/campaign-website-opportunity-list/2,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 3,2026-04-12,office sample 3,https://campaign-website-opportunity-list-sample-03.example,problem labels sample 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,hello3@campaign-website-opportunity-list-sample-03.example,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,Relevant political data opportunity signal 3,hello3@campaign-website-opportunity-list-sample-03.example,https://example.com/source/campaign-website-opportunity-list/3,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 4,2026-04-13,office sample 4,https://campaign-website-opportunity-list-sample-04.example,problem labels sample 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,hello4@campaign-website-opportunity-list-sample-04.example,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,Relevant political data opportunity signal 4,hello4@campaign-website-opportunity-list-sample-04.example,https://example.com/source/campaign-website-opportunity-list/4,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 5,2026-04-14,office sample 5,https://campaign-website-opportunity-list-sample-05.example,problem labels sample 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,hello5@campaign-website-opportunity-list-sample-05.example,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,Relevant political data opportunity signal 5,hello5@campaign-website-opportunity-list-sample-05.example,https://example.com/source/campaign-website-opportunity-list/5,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 6,2026-04-15,office sample 6,https://campaign-website-opportunity-list-sample-06.example,problem labels sample 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,hello6@campaign-website-opportunity-list-sample-06.example,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,Relevant political data opportunity signal 6,hello6@campaign-website-opportunity-list-sample-06.example,https://example.com/source/campaign-website-opportunity-list/6,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 7,2026-04-16,office sample 7,https://campaign-website-opportunity-list-sample-07.example,problem labels sample 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,hello7@campaign-website-opportunity-list-sample-07.example,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,Relevant political data opportunity signal 7,hello7@campaign-website-opportunity-list-sample-07.example,https://example.com/source/campaign-website-opportunity-list/7,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 8,2026-04-17,office sample 8,https://campaign-website-opportunity-list-sample-08.example,problem labels sample 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,hello8@campaign-website-opportunity-list-sample-08.example,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,Relevant political data opportunity signal 8,hello8@campaign-website-opportunity-list-sample-08.example,https://example.com/source/campaign-website-opportunity-list/8,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 9,2026-04-18,office sample 9,https://campaign-website-opportunity-list-sample-09.example,problem labels sample 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,hello9@campaign-website-opportunity-list-sample-09.example,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,Relevant political data opportunity signal 9,hello9@campaign-website-opportunity-list-sample-09.example,https://example.com/source/campaign-website-opportunity-list/9,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
campaign name sample 10,2026-04-19,office sample 10,https://campaign-website-opportunity-list-sample-10.example,problem labels sample 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,hello10@campaign-website-opportunity-list-sample-10.example,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,Relevant political data opportunity signal 10,hello10@campaign-website-opportunity-list-sample-10.example,https://example.com/source/campaign-website-opportunity-list/10,Sample row for Campaign Website Opportunity List; replace with verified production data before outreach.
