company_name,website,city,state,service_type,phone,public_email,contact_page,source_url,notes
Property Managers Sample 01,https://property-managers-sample-01.example,Los Angeles,CA,service type sample 1,(555) 010-100,hello1@property-managers-sample-01.example,https://property-managers-sample-01.example/contact,https://example.com/source/500-property-managers-in-california/1,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 02,https://property-managers-sample-02.example,San Diego,CA,service type sample 2,(555) 011-101,hello2@property-managers-sample-02.example,https://property-managers-sample-02.example/contact,https://example.com/source/500-property-managers-in-california/2,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 03,https://property-managers-sample-03.example,San Jose,CA,service type sample 3,(555) 012-102,hello3@property-managers-sample-03.example,https://property-managers-sample-03.example/contact,https://example.com/source/500-property-managers-in-california/3,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 04,https://property-managers-sample-04.example,Austin,TX,service type sample 4,(555) 013-103,hello4@property-managers-sample-04.example,https://property-managers-sample-04.example/contact,https://example.com/source/500-property-managers-in-california/4,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 05,https://property-managers-sample-05.example,Denver,CO,service type sample 5,(555) 014-104,hello5@property-managers-sample-05.example,https://property-managers-sample-05.example/contact,https://example.com/source/500-property-managers-in-california/5,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 06,https://property-managers-sample-06.example,Phoenix,AZ,service type sample 6,(555) 015-105,hello6@property-managers-sample-06.example,https://property-managers-sample-06.example/contact,https://example.com/source/500-property-managers-in-california/6,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 07,https://property-managers-sample-07.example,Chicago,IL,service type sample 7,(555) 016-106,hello7@property-managers-sample-07.example,https://property-managers-sample-07.example/contact,https://example.com/source/500-property-managers-in-california/7,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 08,https://property-managers-sample-08.example,Seattle,WA,service type sample 8,(555) 017-107,hello8@property-managers-sample-08.example,https://property-managers-sample-08.example/contact,https://example.com/source/500-property-managers-in-california/8,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 09,https://property-managers-sample-09.example,Atlanta,GA,service type sample 9,(555) 018-108,hello9@property-managers-sample-09.example,https://property-managers-sample-09.example/contact,https://example.com/source/500-property-managers-in-california/9,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
Property Managers Sample 10,https://property-managers-sample-10.example,Miami,FL,service type sample 10,(555) 019-109,hello10@property-managers-sample-10.example,https://property-managers-sample-10.example/contact,https://example.com/source/500-property-managers-in-california/10,Sample row for 500 Property Managers in California; replace with verified production data before outreach.
