company_property_name,website,city,state,property_type,phone,public_email,contact_page,source_url,notes
company property name sample 1,https://student-housing-properties-sample-01.example,Los Angeles,CA,property type sample 1,(555) 010-100,hello1@student-housing-properties-sample-01.example,https://student-housing-properties-sample-01.example/contact,https://example.com/source/student-housing-properties/1,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 2,https://student-housing-properties-sample-02.example,San Diego,CA,property type sample 2,(555) 011-101,hello2@student-housing-properties-sample-02.example,https://student-housing-properties-sample-02.example/contact,https://example.com/source/student-housing-properties/2,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 3,https://student-housing-properties-sample-03.example,San Jose,CA,property type sample 3,(555) 012-102,hello3@student-housing-properties-sample-03.example,https://student-housing-properties-sample-03.example/contact,https://example.com/source/student-housing-properties/3,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 4,https://student-housing-properties-sample-04.example,Austin,TX,property type sample 4,(555) 013-103,hello4@student-housing-properties-sample-04.example,https://student-housing-properties-sample-04.example/contact,https://example.com/source/student-housing-properties/4,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 5,https://student-housing-properties-sample-05.example,Denver,CO,property type sample 5,(555) 014-104,hello5@student-housing-properties-sample-05.example,https://student-housing-properties-sample-05.example/contact,https://example.com/source/student-housing-properties/5,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 6,https://student-housing-properties-sample-06.example,Phoenix,AZ,property type sample 6,(555) 015-105,hello6@student-housing-properties-sample-06.example,https://student-housing-properties-sample-06.example/contact,https://example.com/source/student-housing-properties/6,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 7,https://student-housing-properties-sample-07.example,Chicago,IL,property type sample 7,(555) 016-106,hello7@student-housing-properties-sample-07.example,https://student-housing-properties-sample-07.example/contact,https://example.com/source/student-housing-properties/7,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 8,https://student-housing-properties-sample-08.example,Seattle,WA,property type sample 8,(555) 017-107,hello8@student-housing-properties-sample-08.example,https://student-housing-properties-sample-08.example/contact,https://example.com/source/student-housing-properties/8,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 9,https://student-housing-properties-sample-09.example,Atlanta,GA,property type sample 9,(555) 018-108,hello9@student-housing-properties-sample-09.example,https://student-housing-properties-sample-09.example/contact,https://example.com/source/student-housing-properties/9,Sample row for Student housing properties; replace with verified production data before outreach.
company property name sample 10,https://student-housing-properties-sample-10.example,Miami,FL,property type sample 10,(555) 019-109,hello10@student-housing-properties-sample-10.example,https://student-housing-properties-sample-10.example/contact,https://example.com/source/student-housing-properties/10,Sample row for Student housing properties; replace with verified production data before outreach.
