company_name,website,city,state,service_type,phone,public_email,contact_page,source_url,notes
Dental Practices Sample 01,https://dental-practices-sample-01.example,Los Angeles,CA,service type sample 1,(555) 010-100,hello1@dental-practices-sample-01.example,https://dental-practices-sample-01.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/1,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 02,https://dental-practices-sample-02.example,San Diego,CA,service type sample 2,(555) 011-101,hello2@dental-practices-sample-02.example,https://dental-practices-sample-02.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/2,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 03,https://dental-practices-sample-03.example,San Jose,CA,service type sample 3,(555) 012-102,hello3@dental-practices-sample-03.example,https://dental-practices-sample-03.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/3,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 04,https://dental-practices-sample-04.example,Austin,TX,service type sample 4,(555) 013-103,hello4@dental-practices-sample-04.example,https://dental-practices-sample-04.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/4,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 05,https://dental-practices-sample-05.example,Denver,CO,service type sample 5,(555) 014-104,hello5@dental-practices-sample-05.example,https://dental-practices-sample-05.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/5,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 06,https://dental-practices-sample-06.example,Phoenix,AZ,service type sample 6,(555) 015-105,hello6@dental-practices-sample-06.example,https://dental-practices-sample-06.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/6,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 07,https://dental-practices-sample-07.example,Chicago,IL,service type sample 7,(555) 016-106,hello7@dental-practices-sample-07.example,https://dental-practices-sample-07.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/7,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 08,https://dental-practices-sample-08.example,Seattle,WA,service type sample 8,(555) 017-107,hello8@dental-practices-sample-08.example,https://dental-practices-sample-08.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/8,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 09,https://dental-practices-sample-09.example,Atlanta,GA,service type sample 9,(555) 018-108,hello9@dental-practices-sample-09.example,https://dental-practices-sample-09.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/9,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
Dental Practices Sample 10,https://dental-practices-sample-10.example,Miami,FL,service type sample 10,(555) 019-109,hello10@dental-practices-sample-10.example,https://dental-practices-sample-10.example/contact,https://example.com/source/500-dental-practices-with-outdated-websites/10,Sample row for 500 Dental Practices With Outdated Websites; replace with verified production data before outreach.
