business_name,website_source_profile,city,state,category,review_count,rating_signal,website_gap,booking_conversion_gap,contact_page,phone,public_email,source_url,notes
Businesses Sample 01,https://businesses-sample-01.example,Los Angeles,CA,High-Review Website Gap,review count sample 1,Outdated site signals visible in public web review,https://businesses-sample-01.example,Outdated site signals visible in public web review,https://businesses-sample-01.example/contact,(555) 010-100,hello1@businesses-sample-01.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/1,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 02,https://businesses-sample-02.example,San Diego,CA,High-Review Website Gap,review count sample 2,Outdated site signals visible in public web review,https://businesses-sample-02.example,Outdated site signals visible in public web review,https://businesses-sample-02.example/contact,(555) 011-101,hello2@businesses-sample-02.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/2,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 03,https://businesses-sample-03.example,San Jose,CA,High-Review Website Gap,review count sample 3,Outdated site signals visible in public web review,https://businesses-sample-03.example,Outdated site signals visible in public web review,https://businesses-sample-03.example/contact,(555) 012-102,hello3@businesses-sample-03.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/3,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 04,https://businesses-sample-04.example,Austin,TX,High-Review Website Gap,review count sample 4,Outdated site signals visible in public web review,https://businesses-sample-04.example,Outdated site signals visible in public web review,https://businesses-sample-04.example/contact,(555) 013-103,hello4@businesses-sample-04.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/4,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 05,https://businesses-sample-05.example,Denver,CO,High-Review Website Gap,review count sample 5,Outdated site signals visible in public web review,https://businesses-sample-05.example,Outdated site signals visible in public web review,https://businesses-sample-05.example/contact,(555) 014-104,hello5@businesses-sample-05.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/5,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 06,https://businesses-sample-06.example,Phoenix,AZ,High-Review Website Gap,review count sample 6,Outdated site signals visible in public web review,https://businesses-sample-06.example,Outdated site signals visible in public web review,https://businesses-sample-06.example/contact,(555) 015-105,hello6@businesses-sample-06.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/6,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 07,https://businesses-sample-07.example,Chicago,IL,High-Review Website Gap,review count sample 7,Outdated site signals visible in public web review,https://businesses-sample-07.example,Outdated site signals visible in public web review,https://businesses-sample-07.example/contact,(555) 016-106,hello7@businesses-sample-07.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/7,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 08,https://businesses-sample-08.example,Seattle,WA,High-Review Website Gap,review count sample 8,Outdated site signals visible in public web review,https://businesses-sample-08.example,Outdated site signals visible in public web review,https://businesses-sample-08.example/contact,(555) 017-107,hello8@businesses-sample-08.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/8,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 09,https://businesses-sample-09.example,Atlanta,GA,High-Review Website Gap,review count sample 9,Outdated site signals visible in public web review,https://businesses-sample-09.example,Outdated site signals visible in public web review,https://businesses-sample-09.example/contact,(555) 018-108,hello9@businesses-sample-09.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/9,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
Businesses Sample 10,https://businesses-sample-10.example,Miami,FL,High-Review Website Gap,review count sample 10,Outdated site signals visible in public web review,https://businesses-sample-10.example,Outdated site signals visible in public web review,https://businesses-sample-10.example/contact,(555) 019-109,hello10@businesses-sample-10.example,https://example.com/source/500-businesses-with-4-5-reviews-but-outdated-websites/10,Sample row for 500 Businesses With 4.5+ Reviews But Outdated Websites; replace with verified production data before outreach.
