business_name,website,city,state,category,lead_response_intake_signal,chat_booking_status,ai_tool_gap,contact_page,phone,public_email,source_url,suggested_outreach_angle,notes
Service Businesses Sample 01,https://service-businesses-sample-01.example,Los Angeles,CA,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-01.example/contact,(555) 010-100,hello1@service-businesses-sample-01.example,https://example.com/source/500-service-businesses-missing-live-chat/1,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 02,https://service-businesses-sample-02.example,San Diego,CA,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-02.example/contact,(555) 011-101,hello2@service-businesses-sample-02.example,https://example.com/source/500-service-businesses-missing-live-chat/2,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 03,https://service-businesses-sample-03.example,San Jose,CA,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-03.example/contact,(555) 012-102,hello3@service-businesses-sample-03.example,https://example.com/source/500-service-businesses-missing-live-chat/3,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 04,https://service-businesses-sample-04.example,Austin,TX,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-04.example/contact,(555) 013-103,hello4@service-businesses-sample-04.example,https://example.com/source/500-service-businesses-missing-live-chat/4,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 05,https://service-businesses-sample-05.example,Denver,CO,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-05.example/contact,(555) 014-104,hello5@service-businesses-sample-05.example,https://example.com/source/500-service-businesses-missing-live-chat/5,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 06,https://service-businesses-sample-06.example,Phoenix,AZ,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-06.example/contact,(555) 015-105,hello6@service-businesses-sample-06.example,https://example.com/source/500-service-businesses-missing-live-chat/6,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 07,https://service-businesses-sample-07.example,Chicago,IL,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-07.example/contact,(555) 016-106,hello7@service-businesses-sample-07.example,https://example.com/source/500-service-businesses-missing-live-chat/7,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 08,https://service-businesses-sample-08.example,Seattle,WA,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-08.example/contact,(555) 017-107,hello8@service-businesses-sample-08.example,https://example.com/source/500-service-businesses-missing-live-chat/8,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 09,https://service-businesses-sample-09.example,Atlanta,GA,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-09.example/contact,(555) 018-108,hello9@service-businesses-sample-09.example,https://example.com/source/500-service-businesses-missing-live-chat/9,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
Service Businesses Sample 10,https://service-businesses-sample-10.example,Miami,FL,AI Automation Opportunity,Expected conversion path appears missing,Expected conversion path appears missing,Expected conversion path appears missing,https://service-businesses-sample-10.example/contact,(555) 019-109,hello10@service-businesses-sample-10.example,https://example.com/source/500-service-businesses-missing-live-chat/10,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.,Sample row for 500 Service Businesses Missing Live Chat; replace with verified production data before outreach.
