business_name,website,city,state,service_category,local_demand_signal,website_conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
Solar Installers Sample 01,https://solar-installers-sample-01.example,Los Angeles,CA,Local Service,Relevant local service opportunity signal 1,https://solar-installers-sample-01.example,(555) 010-100,hello1@solar-installers-sample-01.example,https://solar-installers-sample-01.example/contact,https://example.com/source/500-solar-installers/1,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 02,https://solar-installers-sample-02.example,San Diego,CA,Local Service,Relevant local service opportunity signal 2,https://solar-installers-sample-02.example,(555) 011-101,hello2@solar-installers-sample-02.example,https://solar-installers-sample-02.example/contact,https://example.com/source/500-solar-installers/2,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 03,https://solar-installers-sample-03.example,San Jose,CA,Local Service,Relevant local service opportunity signal 3,https://solar-installers-sample-03.example,(555) 012-102,hello3@solar-installers-sample-03.example,https://solar-installers-sample-03.example/contact,https://example.com/source/500-solar-installers/3,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 04,https://solar-installers-sample-04.example,Austin,TX,Local Service,Relevant local service opportunity signal 4,https://solar-installers-sample-04.example,(555) 013-103,hello4@solar-installers-sample-04.example,https://solar-installers-sample-04.example/contact,https://example.com/source/500-solar-installers/4,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 05,https://solar-installers-sample-05.example,Denver,CO,Local Service,Relevant local service opportunity signal 5,https://solar-installers-sample-05.example,(555) 014-104,hello5@solar-installers-sample-05.example,https://solar-installers-sample-05.example/contact,https://example.com/source/500-solar-installers/5,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 06,https://solar-installers-sample-06.example,Phoenix,AZ,Local Service,Relevant local service opportunity signal 6,https://solar-installers-sample-06.example,(555) 015-105,hello6@solar-installers-sample-06.example,https://solar-installers-sample-06.example/contact,https://example.com/source/500-solar-installers/6,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 07,https://solar-installers-sample-07.example,Chicago,IL,Local Service,Relevant local service opportunity signal 7,https://solar-installers-sample-07.example,(555) 016-106,hello7@solar-installers-sample-07.example,https://solar-installers-sample-07.example/contact,https://example.com/source/500-solar-installers/7,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 08,https://solar-installers-sample-08.example,Seattle,WA,Local Service,Relevant local service opportunity signal 8,https://solar-installers-sample-08.example,(555) 017-107,hello8@solar-installers-sample-08.example,https://solar-installers-sample-08.example/contact,https://example.com/source/500-solar-installers/8,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 09,https://solar-installers-sample-09.example,Atlanta,GA,Local Service,Relevant local service opportunity signal 9,https://solar-installers-sample-09.example,(555) 018-108,hello9@solar-installers-sample-09.example,https://solar-installers-sample-09.example/contact,https://example.com/source/500-solar-installers/9,Sample row for 500 Solar Installers; replace with verified production data before outreach.
Solar Installers Sample 10,https://solar-installers-sample-10.example,Miami,FL,Local Service,Relevant local service opportunity signal 10,https://solar-installers-sample-10.example,(555) 019-109,hello10@solar-installers-sample-10.example,https://solar-installers-sample-10.example/contact,https://example.com/source/500-solar-installers/10,Sample row for 500 Solar Installers; replace with verified production data before outreach.
