company_name,website,city,state,service_type,lead_value_signal,conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
CPAs Sample 01,https://cpas-sample-01.example,Los Angeles,CA,service type sample 1,No obvious online workflow found,No obvious online workflow found,(555) 010-100,hello1@cpas-sample-01.example,https://cpas-sample-01.example/contact,https://example.com/source/500-cpas-without-online-scheduling/1,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 02,https://cpas-sample-02.example,San Diego,CA,service type sample 2,No obvious online workflow found,No obvious online workflow found,(555) 011-101,hello2@cpas-sample-02.example,https://cpas-sample-02.example/contact,https://example.com/source/500-cpas-without-online-scheduling/2,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 03,https://cpas-sample-03.example,San Jose,CA,service type sample 3,No obvious online workflow found,No obvious online workflow found,(555) 012-102,hello3@cpas-sample-03.example,https://cpas-sample-03.example/contact,https://example.com/source/500-cpas-without-online-scheduling/3,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 04,https://cpas-sample-04.example,Austin,TX,service type sample 4,No obvious online workflow found,No obvious online workflow found,(555) 013-103,hello4@cpas-sample-04.example,https://cpas-sample-04.example/contact,https://example.com/source/500-cpas-without-online-scheduling/4,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 05,https://cpas-sample-05.example,Denver,CO,service type sample 5,No obvious online workflow found,No obvious online workflow found,(555) 014-104,hello5@cpas-sample-05.example,https://cpas-sample-05.example/contact,https://example.com/source/500-cpas-without-online-scheduling/5,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 06,https://cpas-sample-06.example,Phoenix,AZ,service type sample 6,No obvious online workflow found,No obvious online workflow found,(555) 015-105,hello6@cpas-sample-06.example,https://cpas-sample-06.example/contact,https://example.com/source/500-cpas-without-online-scheduling/6,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 07,https://cpas-sample-07.example,Chicago,IL,service type sample 7,No obvious online workflow found,No obvious online workflow found,(555) 016-106,hello7@cpas-sample-07.example,https://cpas-sample-07.example/contact,https://example.com/source/500-cpas-without-online-scheduling/7,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 08,https://cpas-sample-08.example,Seattle,WA,service type sample 8,No obvious online workflow found,No obvious online workflow found,(555) 017-107,hello8@cpas-sample-08.example,https://cpas-sample-08.example/contact,https://example.com/source/500-cpas-without-online-scheduling/8,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 09,https://cpas-sample-09.example,Atlanta,GA,service type sample 9,No obvious online workflow found,No obvious online workflow found,(555) 018-108,hello9@cpas-sample-09.example,https://cpas-sample-09.example/contact,https://example.com/source/500-cpas-without-online-scheduling/9,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
CPAs Sample 10,https://cpas-sample-10.example,Miami,FL,service type sample 10,No obvious online workflow found,No obvious online workflow found,(555) 019-109,hello10@cpas-sample-10.example,https://cpas-sample-10.example/contact,https://example.com/source/500-cpas-without-online-scheduling/10,Sample row for 500 CPAs Without Online Scheduling; replace with verified production data before outreach.
