creator_company_name,website,platform,niche,public_email,contact_page,social_link,sponsor_booking_page,source_url,notes
creator company name sample 1,https://local-influencers-by-city-sample-01.example,https://www.instagram.com/local-influencers-by-city-sample-01,niche sample 1,hello1@local-influencers-by-city-sample-01.example,https://local-influencers-by-city-sample-01.example/contact,https://www.instagram.com/local-influencers-by-city-sample-01,Relevant creator intelligence opportunity signal 1,https://example.com/source/local-influencers-by-city/1,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 2,https://local-influencers-by-city-sample-02.example,https://www.instagram.com/local-influencers-by-city-sample-02,niche sample 2,hello2@local-influencers-by-city-sample-02.example,https://local-influencers-by-city-sample-02.example/contact,https://www.instagram.com/local-influencers-by-city-sample-02,Relevant creator intelligence opportunity signal 2,https://example.com/source/local-influencers-by-city/2,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 3,https://local-influencers-by-city-sample-03.example,https://www.instagram.com/local-influencers-by-city-sample-03,niche sample 3,hello3@local-influencers-by-city-sample-03.example,https://local-influencers-by-city-sample-03.example/contact,https://www.instagram.com/local-influencers-by-city-sample-03,Relevant creator intelligence opportunity signal 3,https://example.com/source/local-influencers-by-city/3,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 4,https://local-influencers-by-city-sample-04.example,https://www.instagram.com/local-influencers-by-city-sample-04,niche sample 4,hello4@local-influencers-by-city-sample-04.example,https://local-influencers-by-city-sample-04.example/contact,https://www.instagram.com/local-influencers-by-city-sample-04,Relevant creator intelligence opportunity signal 4,https://example.com/source/local-influencers-by-city/4,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 5,https://local-influencers-by-city-sample-05.example,https://www.instagram.com/local-influencers-by-city-sample-05,niche sample 5,hello5@local-influencers-by-city-sample-05.example,https://local-influencers-by-city-sample-05.example/contact,https://www.instagram.com/local-influencers-by-city-sample-05,Relevant creator intelligence opportunity signal 5,https://example.com/source/local-influencers-by-city/5,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 6,https://local-influencers-by-city-sample-06.example,https://www.instagram.com/local-influencers-by-city-sample-06,niche sample 6,hello6@local-influencers-by-city-sample-06.example,https://local-influencers-by-city-sample-06.example/contact,https://www.instagram.com/local-influencers-by-city-sample-06,Relevant creator intelligence opportunity signal 6,https://example.com/source/local-influencers-by-city/6,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 7,https://local-influencers-by-city-sample-07.example,https://www.instagram.com/local-influencers-by-city-sample-07,niche sample 7,hello7@local-influencers-by-city-sample-07.example,https://local-influencers-by-city-sample-07.example/contact,https://www.instagram.com/local-influencers-by-city-sample-07,Relevant creator intelligence opportunity signal 7,https://example.com/source/local-influencers-by-city/7,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 8,https://local-influencers-by-city-sample-08.example,https://www.instagram.com/local-influencers-by-city-sample-08,niche sample 8,hello8@local-influencers-by-city-sample-08.example,https://local-influencers-by-city-sample-08.example/contact,https://www.instagram.com/local-influencers-by-city-sample-08,Relevant creator intelligence opportunity signal 8,https://example.com/source/local-influencers-by-city/8,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 9,https://local-influencers-by-city-sample-09.example,https://www.instagram.com/local-influencers-by-city-sample-09,niche sample 9,hello9@local-influencers-by-city-sample-09.example,https://local-influencers-by-city-sample-09.example/contact,https://www.instagram.com/local-influencers-by-city-sample-09,Relevant creator intelligence opportunity signal 9,https://example.com/source/local-influencers-by-city/9,Sample row for Local influencers by city; replace with verified production data before outreach.
creator company name sample 10,https://local-influencers-by-city-sample-10.example,https://www.instagram.com/local-influencers-by-city-sample-10,niche sample 10,hello10@local-influencers-by-city-sample-10.example,https://local-influencers-by-city-sample-10.example/contact,https://www.instagram.com/local-influencers-by-city-sample-10,Relevant creator intelligence opportunity signal 10,https://example.com/source/local-influencers-by-city/10,Sample row for Local influencers by city; replace with verified production data before outreach.
