committee_donor_name,committee_type,jurisdiction,treasurer_public_contact,total_raised,total_spent,cash_on_hand,contribution_amount_vendor_spend_where_applicable,filing_date,source_filing_url,recency_score,notes
committee donor name sample 1,committee type sample 1,jurisdiction sample 1,treasurer public contact sample 1,total raised sample 1,total spent sample 1,cash on hand sample 1,contribution amount vendor spend where applicable sample 1,2026-04-10,https://example.com/source/state-pac-and-committee-contact-list/1,78,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 2,committee type sample 2,jurisdiction sample 2,treasurer public contact sample 2,total raised sample 2,total spent sample 2,cash on hand sample 2,contribution amount vendor spend where applicable sample 2,2026-04-11,https://example.com/source/state-pac-and-committee-contact-list/2,79,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 3,committee type sample 3,jurisdiction sample 3,treasurer public contact sample 3,total raised sample 3,total spent sample 3,cash on hand sample 3,contribution amount vendor spend where applicable sample 3,2026-04-12,https://example.com/source/state-pac-and-committee-contact-list/3,80,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 4,committee type sample 4,jurisdiction sample 4,treasurer public contact sample 4,total raised sample 4,total spent sample 4,cash on hand sample 4,contribution amount vendor spend where applicable sample 4,2026-04-13,https://example.com/source/state-pac-and-committee-contact-list/4,81,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 5,committee type sample 5,jurisdiction sample 5,treasurer public contact sample 5,total raised sample 5,total spent sample 5,cash on hand sample 5,contribution amount vendor spend where applicable sample 5,2026-04-14,https://example.com/source/state-pac-and-committee-contact-list/5,82,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 6,committee type sample 6,jurisdiction sample 6,treasurer public contact sample 6,total raised sample 6,total spent sample 6,cash on hand sample 6,contribution amount vendor spend where applicable sample 6,2026-04-15,https://example.com/source/state-pac-and-committee-contact-list/6,83,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 7,committee type sample 7,jurisdiction sample 7,treasurer public contact sample 7,total raised sample 7,total spent sample 7,cash on hand sample 7,contribution amount vendor spend where applicable sample 7,2026-04-16,https://example.com/source/state-pac-and-committee-contact-list/7,84,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 8,committee type sample 8,jurisdiction sample 8,treasurer public contact sample 8,total raised sample 8,total spent sample 8,cash on hand sample 8,contribution amount vendor spend where applicable sample 8,2026-04-17,https://example.com/source/state-pac-and-committee-contact-list/8,85,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 9,committee type sample 9,jurisdiction sample 9,treasurer public contact sample 9,total raised sample 9,total spent sample 9,cash on hand sample 9,contribution amount vendor spend where applicable sample 9,2026-04-18,https://example.com/source/state-pac-and-committee-contact-list/9,86,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
committee donor name sample 10,committee type sample 10,jurisdiction sample 10,treasurer public contact sample 10,total raised sample 10,total spent sample 10,cash on hand sample 10,contribution amount vendor spend where applicable sample 10,2026-04-19,https://example.com/source/state-pac-and-committee-contact-list/10,87,Sample row for State PAC and Committee Contact List; replace with verified production data before outreach.
