company_name,website,city,state,service_type,phone,public_email,contact_page,source_url,notes
CPA firms Sample 01,https://cpa-firms-sample-01.example,Los Angeles,CA,service type sample 1,(555) 010-100,hello1@cpa-firms-sample-01.example,https://cpa-firms-sample-01.example/contact,https://example.com/source/cpa-firms/1,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 02,https://cpa-firms-sample-02.example,San Diego,CA,service type sample 2,(555) 011-101,hello2@cpa-firms-sample-02.example,https://cpa-firms-sample-02.example/contact,https://example.com/source/cpa-firms/2,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 03,https://cpa-firms-sample-03.example,San Jose,CA,service type sample 3,(555) 012-102,hello3@cpa-firms-sample-03.example,https://cpa-firms-sample-03.example/contact,https://example.com/source/cpa-firms/3,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 04,https://cpa-firms-sample-04.example,Austin,TX,service type sample 4,(555) 013-103,hello4@cpa-firms-sample-04.example,https://cpa-firms-sample-04.example/contact,https://example.com/source/cpa-firms/4,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 05,https://cpa-firms-sample-05.example,Denver,CO,service type sample 5,(555) 014-104,hello5@cpa-firms-sample-05.example,https://cpa-firms-sample-05.example/contact,https://example.com/source/cpa-firms/5,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 06,https://cpa-firms-sample-06.example,Phoenix,AZ,service type sample 6,(555) 015-105,hello6@cpa-firms-sample-06.example,https://cpa-firms-sample-06.example/contact,https://example.com/source/cpa-firms/6,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 07,https://cpa-firms-sample-07.example,Chicago,IL,service type sample 7,(555) 016-106,hello7@cpa-firms-sample-07.example,https://cpa-firms-sample-07.example/contact,https://example.com/source/cpa-firms/7,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 08,https://cpa-firms-sample-08.example,Seattle,WA,service type sample 8,(555) 017-107,hello8@cpa-firms-sample-08.example,https://cpa-firms-sample-08.example/contact,https://example.com/source/cpa-firms/8,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 09,https://cpa-firms-sample-09.example,Atlanta,GA,service type sample 9,(555) 018-108,hello9@cpa-firms-sample-09.example,https://cpa-firms-sample-09.example/contact,https://example.com/source/cpa-firms/9,Sample row for CPA firms; replace with verified production data before outreach.
CPA firms Sample 10,https://cpa-firms-sample-10.example,Miami,FL,service type sample 10,(555) 019-109,hello10@cpa-firms-sample-10.example,https://cpa-firms-sample-10.example/contact,https://example.com/source/cpa-firms/10,Sample row for CPA firms; replace with verified production data before outreach.
