name,website,city,phone,public_email,contact_page,lead_score,contactability_score,urgency_score,tech_gap,ad_signal,suggested_outreach_angle,cold_email_prompt,source_urls,notes
Contractors Sample 01,https://contractors-sample-01.example,Los Angeles,(555) 010-100,hello1@contractors-sample-01.example,https://contractors-sample-01.example/contact,78,78,78,Relevant agent stats opportunity signal 1,Relevant agent stats opportunity signal 1,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello1@contractors-sample-01.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/1,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 02,https://contractors-sample-02.example,San Diego,(555) 011-101,hello2@contractors-sample-02.example,https://contractors-sample-02.example/contact,79,79,79,Relevant agent stats opportunity signal 2,Relevant agent stats opportunity signal 2,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello2@contractors-sample-02.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/2,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 03,https://contractors-sample-03.example,San Jose,(555) 012-102,hello3@contractors-sample-03.example,https://contractors-sample-03.example/contact,80,80,80,Relevant agent stats opportunity signal 3,Relevant agent stats opportunity signal 3,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello3@contractors-sample-03.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/3,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 04,https://contractors-sample-04.example,Austin,(555) 013-103,hello4@contractors-sample-04.example,https://contractors-sample-04.example/contact,81,81,81,Relevant agent stats opportunity signal 4,Relevant agent stats opportunity signal 4,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello4@contractors-sample-04.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/4,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 05,https://contractors-sample-05.example,Denver,(555) 014-104,hello5@contractors-sample-05.example,https://contractors-sample-05.example/contact,82,82,82,Relevant agent stats opportunity signal 5,Relevant agent stats opportunity signal 5,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello5@contractors-sample-05.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/5,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 06,https://contractors-sample-06.example,Phoenix,(555) 015-105,hello6@contractors-sample-06.example,https://contractors-sample-06.example/contact,83,83,83,Relevant agent stats opportunity signal 6,Relevant agent stats opportunity signal 6,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello6@contractors-sample-06.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/6,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 07,https://contractors-sample-07.example,Chicago,(555) 016-106,hello7@contractors-sample-07.example,https://contractors-sample-07.example/contact,84,84,84,Relevant agent stats opportunity signal 7,Relevant agent stats opportunity signal 7,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello7@contractors-sample-07.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/7,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 08,https://contractors-sample-08.example,Seattle,(555) 017-107,hello8@contractors-sample-08.example,https://contractors-sample-08.example/contact,85,85,85,Relevant agent stats opportunity signal 8,Relevant agent stats opportunity signal 8,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello8@contractors-sample-08.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/8,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 09,https://contractors-sample-09.example,Atlanta,(555) 018-108,hello9@contractors-sample-09.example,https://contractors-sample-09.example/contact,86,86,86,Relevant agent stats opportunity signal 9,Relevant agent stats opportunity signal 9,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello9@contractors-sample-09.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/9,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
Contractors Sample 10,https://contractors-sample-10.example,Miami,(555) 019-109,hello10@contractors-sample-10.example,https://contractors-sample-10.example/contact,87,87,87,Relevant agent stats opportunity signal 10,Relevant agent stats opportunity signal 10,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.,hello10@contractors-sample-10.example,https://example.com/source/500-contractors-without-booking-agent-stats-edition/10,Sample row for 500 Contractors Without Booking - Agent Stats Edition; replace with verified production data before outreach.
