candidate,pac,or_committee,ad_platform,ad_creative_link,spend_range,start_date,end_date,topic,landing_page,donation_page,target_region_if_public,source_url,notes
2026-04-10,pac sample 1,or committee sample 1,https://www.instagram.com/political-ad-buyer-list-sample-01,ad creative link sample 1,spend range sample 1,2026-04-10,2026-04-10,topic sample 1,https://political-ad-buyer-list-sample-01.example,Relevant political data opportunity signal 1,CA,https://example.com/source/political-ad-buyer-list/1,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-11,pac sample 2,or committee sample 2,https://www.instagram.com/political-ad-buyer-list-sample-02,ad creative link sample 2,spend range sample 2,2026-04-11,2026-04-11,topic sample 2,https://political-ad-buyer-list-sample-02.example,Relevant political data opportunity signal 2,CA,https://example.com/source/political-ad-buyer-list/2,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-12,pac sample 3,or committee sample 3,https://www.instagram.com/political-ad-buyer-list-sample-03,ad creative link sample 3,spend range sample 3,2026-04-12,2026-04-12,topic sample 3,https://political-ad-buyer-list-sample-03.example,Relevant political data opportunity signal 3,CA,https://example.com/source/political-ad-buyer-list/3,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-13,pac sample 4,or committee sample 4,https://www.instagram.com/political-ad-buyer-list-sample-04,ad creative link sample 4,spend range sample 4,2026-04-13,2026-04-13,topic sample 4,https://political-ad-buyer-list-sample-04.example,Relevant political data opportunity signal 4,TX,https://example.com/source/political-ad-buyer-list/4,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-14,pac sample 5,or committee sample 5,https://www.instagram.com/political-ad-buyer-list-sample-05,ad creative link sample 5,spend range sample 5,2026-04-14,2026-04-14,topic sample 5,https://political-ad-buyer-list-sample-05.example,Relevant political data opportunity signal 5,CO,https://example.com/source/political-ad-buyer-list/5,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-15,pac sample 6,or committee sample 6,https://www.instagram.com/political-ad-buyer-list-sample-06,ad creative link sample 6,spend range sample 6,2026-04-15,2026-04-15,topic sample 6,https://political-ad-buyer-list-sample-06.example,Relevant political data opportunity signal 6,AZ,https://example.com/source/political-ad-buyer-list/6,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-16,pac sample 7,or committee sample 7,https://www.instagram.com/political-ad-buyer-list-sample-07,ad creative link sample 7,spend range sample 7,2026-04-16,2026-04-16,topic sample 7,https://political-ad-buyer-list-sample-07.example,Relevant political data opportunity signal 7,IL,https://example.com/source/political-ad-buyer-list/7,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-17,pac sample 8,or committee sample 8,https://www.instagram.com/political-ad-buyer-list-sample-08,ad creative link sample 8,spend range sample 8,2026-04-17,2026-04-17,topic sample 8,https://political-ad-buyer-list-sample-08.example,Relevant political data opportunity signal 8,WA,https://example.com/source/political-ad-buyer-list/8,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-18,pac sample 9,or committee sample 9,https://www.instagram.com/political-ad-buyer-list-sample-09,ad creative link sample 9,spend range sample 9,2026-04-18,2026-04-18,topic sample 9,https://political-ad-buyer-list-sample-09.example,Relevant political data opportunity signal 9,GA,https://example.com/source/political-ad-buyer-list/9,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
2026-04-19,pac sample 10,or committee sample 10,https://www.instagram.com/political-ad-buyer-list-sample-10,ad creative link sample 10,spend range sample 10,2026-04-19,2026-04-19,topic sample 10,https://political-ad-buyer-list-sample-10.example,Relevant political data opportunity signal 10,FL,https://example.com/source/political-ad-buyer-list/10,Sample row for Political Ad Buyer List; replace with verified production data before outreach.
