advertiser,candidate_committee,platform,ad_library_profile,ad_creative_link,spend_range_where_public,start_date,end_date,issue_topic,landing_page,donation_page,target_region_if_public,source_url,notes
advertiser sample 1,2026-04-10,https://www.instagram.com/campaigns-sample-01,ad library profile sample 1,ad creative link sample 1,spend range where public sample 1,2026-04-10,2026-04-10,Paid traffic signal with weak conversion path,https://campaigns-sample-01.example,Paid traffic signal with weak conversion path,CA,https://example.com/source/campaigns-with-active-google-political-ads/1,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 2,2026-04-11,https://www.instagram.com/campaigns-sample-02,ad library profile sample 2,ad creative link sample 2,spend range where public sample 2,2026-04-11,2026-04-11,Paid traffic signal with weak conversion path,https://campaigns-sample-02.example,Paid traffic signal with weak conversion path,CA,https://example.com/source/campaigns-with-active-google-political-ads/2,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 3,2026-04-12,https://www.instagram.com/campaigns-sample-03,ad library profile sample 3,ad creative link sample 3,spend range where public sample 3,2026-04-12,2026-04-12,Paid traffic signal with weak conversion path,https://campaigns-sample-03.example,Paid traffic signal with weak conversion path,CA,https://example.com/source/campaigns-with-active-google-political-ads/3,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 4,2026-04-13,https://www.instagram.com/campaigns-sample-04,ad library profile sample 4,ad creative link sample 4,spend range where public sample 4,2026-04-13,2026-04-13,Paid traffic signal with weak conversion path,https://campaigns-sample-04.example,Paid traffic signal with weak conversion path,TX,https://example.com/source/campaigns-with-active-google-political-ads/4,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 5,2026-04-14,https://www.instagram.com/campaigns-sample-05,ad library profile sample 5,ad creative link sample 5,spend range where public sample 5,2026-04-14,2026-04-14,Paid traffic signal with weak conversion path,https://campaigns-sample-05.example,Paid traffic signal with weak conversion path,CO,https://example.com/source/campaigns-with-active-google-political-ads/5,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 6,2026-04-15,https://www.instagram.com/campaigns-sample-06,ad library profile sample 6,ad creative link sample 6,spend range where public sample 6,2026-04-15,2026-04-15,Paid traffic signal with weak conversion path,https://campaigns-sample-06.example,Paid traffic signal with weak conversion path,AZ,https://example.com/source/campaigns-with-active-google-political-ads/6,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 7,2026-04-16,https://www.instagram.com/campaigns-sample-07,ad library profile sample 7,ad creative link sample 7,spend range where public sample 7,2026-04-16,2026-04-16,Paid traffic signal with weak conversion path,https://campaigns-sample-07.example,Paid traffic signal with weak conversion path,IL,https://example.com/source/campaigns-with-active-google-political-ads/7,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 8,2026-04-17,https://www.instagram.com/campaigns-sample-08,ad library profile sample 8,ad creative link sample 8,spend range where public sample 8,2026-04-17,2026-04-17,Paid traffic signal with weak conversion path,https://campaigns-sample-08.example,Paid traffic signal with weak conversion path,WA,https://example.com/source/campaigns-with-active-google-political-ads/8,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 9,2026-04-18,https://www.instagram.com/campaigns-sample-09,ad library profile sample 9,ad creative link sample 9,spend range where public sample 9,2026-04-18,2026-04-18,Paid traffic signal with weak conversion path,https://campaigns-sample-09.example,Paid traffic signal with weak conversion path,GA,https://example.com/source/campaigns-with-active-google-political-ads/9,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
advertiser sample 10,2026-04-19,https://www.instagram.com/campaigns-sample-10,ad library profile sample 10,ad creative link sample 10,spend range where public sample 10,2026-04-19,2026-04-19,Paid traffic signal with weak conversion path,https://campaigns-sample-10.example,Paid traffic signal with weak conversion path,FL,https://example.com/source/campaigns-with-active-google-political-ads/10,Sample row for Campaigns With Active Google Political Ads; replace with verified production data before outreach.
