business_name,website,city,state,ad_signal,keyword_market,phone,public_email,landing_page,source_url,notes
Roofers Sample 01,https://roofers-sample-01.example,Los Angeles,CA,Paid traffic signal with weak conversion path,Los Angeles,(555) 010-100,hello1@roofers-sample-01.example,https://roofers-sample-01.example,https://example.com/source/roofers-running-google-ads/1,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 02,https://roofers-sample-02.example,San Diego,CA,Paid traffic signal with weak conversion path,San Diego,(555) 011-101,hello2@roofers-sample-02.example,https://roofers-sample-02.example,https://example.com/source/roofers-running-google-ads/2,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 03,https://roofers-sample-03.example,San Jose,CA,Paid traffic signal with weak conversion path,San Jose,(555) 012-102,hello3@roofers-sample-03.example,https://roofers-sample-03.example,https://example.com/source/roofers-running-google-ads/3,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 04,https://roofers-sample-04.example,Austin,TX,Paid traffic signal with weak conversion path,Austin,(555) 013-103,hello4@roofers-sample-04.example,https://roofers-sample-04.example,https://example.com/source/roofers-running-google-ads/4,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 05,https://roofers-sample-05.example,Denver,CO,Paid traffic signal with weak conversion path,Denver,(555) 014-104,hello5@roofers-sample-05.example,https://roofers-sample-05.example,https://example.com/source/roofers-running-google-ads/5,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 06,https://roofers-sample-06.example,Phoenix,AZ,Paid traffic signal with weak conversion path,Phoenix,(555) 015-105,hello6@roofers-sample-06.example,https://roofers-sample-06.example,https://example.com/source/roofers-running-google-ads/6,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 07,https://roofers-sample-07.example,Chicago,IL,Paid traffic signal with weak conversion path,Chicago,(555) 016-106,hello7@roofers-sample-07.example,https://roofers-sample-07.example,https://example.com/source/roofers-running-google-ads/7,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 08,https://roofers-sample-08.example,Seattle,WA,Paid traffic signal with weak conversion path,Seattle,(555) 017-107,hello8@roofers-sample-08.example,https://roofers-sample-08.example,https://example.com/source/roofers-running-google-ads/8,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 09,https://roofers-sample-09.example,Atlanta,GA,Paid traffic signal with weak conversion path,Atlanta,(555) 018-108,hello9@roofers-sample-09.example,https://roofers-sample-09.example,https://example.com/source/roofers-running-google-ads/9,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
Roofers Sample 10,https://roofers-sample-10.example,Miami,FL,Paid traffic signal with weak conversion path,Miami,(555) 019-109,hello10@roofers-sample-10.example,https://roofers-sample-10.example,https://example.com/source/roofers-running-google-ads/10,Sample row for Roofers running Google Ads; replace with verified production data before outreach.
