agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://city-websites-sample-01.example,Los Angeles,CA,https://city-websites-sample-01.example/contact,(555) 010-100,hello1@city-websites-sample-01.example,https://example.com/source/city-websites-with-outdated-designs/1,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://city-websites-sample-02.example,San Diego,CA,https://city-websites-sample-02.example/contact,(555) 011-101,hello2@city-websites-sample-02.example,https://example.com/source/city-websites-with-outdated-designs/2,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://city-websites-sample-03.example,San Jose,CA,https://city-websites-sample-03.example/contact,(555) 012-102,hello3@city-websites-sample-03.example,https://example.com/source/city-websites-with-outdated-designs/3,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://city-websites-sample-04.example,Austin,TX,https://city-websites-sample-04.example/contact,(555) 013-103,hello4@city-websites-sample-04.example,https://example.com/source/city-websites-with-outdated-designs/4,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://city-websites-sample-05.example,Denver,CO,https://city-websites-sample-05.example/contact,(555) 014-104,hello5@city-websites-sample-05.example,https://example.com/source/city-websites-with-outdated-designs/5,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://city-websites-sample-06.example,Phoenix,AZ,https://city-websites-sample-06.example/contact,(555) 015-105,hello6@city-websites-sample-06.example,https://example.com/source/city-websites-with-outdated-designs/6,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://city-websites-sample-07.example,Chicago,IL,https://city-websites-sample-07.example/contact,(555) 016-106,hello7@city-websites-sample-07.example,https://example.com/source/city-websites-with-outdated-designs/7,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://city-websites-sample-08.example,Seattle,WA,https://city-websites-sample-08.example/contact,(555) 017-107,hello8@city-websites-sample-08.example,https://example.com/source/city-websites-with-outdated-designs/8,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://city-websites-sample-09.example,Atlanta,GA,https://city-websites-sample-09.example/contact,(555) 018-108,hello9@city-websites-sample-09.example,https://example.com/source/city-websites-with-outdated-designs/9,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://city-websites-sample-10.example,Miami,FL,https://city-websites-sample-10.example/contact,(555) 019-109,hello10@city-websites-sample-10.example,https://example.com/source/city-websites-with-outdated-designs/10,Government and Public Organization,Sample row for City websites with outdated designs; replace with verified production data before outreach.
