brand_name,website,ecommerce_platform_signal,category,country_market,marketing_tech_signal,conversion_gap,affiliate_influencer_page,contact_page,public_email,source_url,notes
Apparel Brands Sample 01,https://apparel-brands-sample-01.example,Relevant ecommerce / shopify buyer opportunity signal 1,Ecommerce / Shopify Buyer,Los Angeles,Los Angeles,Relevant ecommerce / shopify buyer opportunity signal 1,affiliate influencer page sample 1,https://apparel-brands-sample-01.example/contact,hello1@apparel-brands-sample-01.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/1,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 02,https://apparel-brands-sample-02.example,Relevant ecommerce / shopify buyer opportunity signal 2,Ecommerce / Shopify Buyer,San Diego,San Diego,Relevant ecommerce / shopify buyer opportunity signal 2,affiliate influencer page sample 2,https://apparel-brands-sample-02.example/contact,hello2@apparel-brands-sample-02.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/2,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 03,https://apparel-brands-sample-03.example,Relevant ecommerce / shopify buyer opportunity signal 3,Ecommerce / Shopify Buyer,San Jose,San Jose,Relevant ecommerce / shopify buyer opportunity signal 3,affiliate influencer page sample 3,https://apparel-brands-sample-03.example/contact,hello3@apparel-brands-sample-03.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/3,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 04,https://apparel-brands-sample-04.example,Relevant ecommerce / shopify buyer opportunity signal 4,Ecommerce / Shopify Buyer,Austin,Austin,Relevant ecommerce / shopify buyer opportunity signal 4,affiliate influencer page sample 4,https://apparel-brands-sample-04.example/contact,hello4@apparel-brands-sample-04.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/4,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 05,https://apparel-brands-sample-05.example,Relevant ecommerce / shopify buyer opportunity signal 5,Ecommerce / Shopify Buyer,Denver,Denver,Relevant ecommerce / shopify buyer opportunity signal 5,affiliate influencer page sample 5,https://apparel-brands-sample-05.example/contact,hello5@apparel-brands-sample-05.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/5,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 06,https://apparel-brands-sample-06.example,Relevant ecommerce / shopify buyer opportunity signal 6,Ecommerce / Shopify Buyer,Phoenix,Phoenix,Relevant ecommerce / shopify buyer opportunity signal 6,affiliate influencer page sample 6,https://apparel-brands-sample-06.example/contact,hello6@apparel-brands-sample-06.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/6,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 07,https://apparel-brands-sample-07.example,Relevant ecommerce / shopify buyer opportunity signal 7,Ecommerce / Shopify Buyer,Chicago,Chicago,Relevant ecommerce / shopify buyer opportunity signal 7,affiliate influencer page sample 7,https://apparel-brands-sample-07.example/contact,hello7@apparel-brands-sample-07.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/7,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 08,https://apparel-brands-sample-08.example,Relevant ecommerce / shopify buyer opportunity signal 8,Ecommerce / Shopify Buyer,Seattle,Seattle,Relevant ecommerce / shopify buyer opportunity signal 8,affiliate influencer page sample 8,https://apparel-brands-sample-08.example/contact,hello8@apparel-brands-sample-08.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/8,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 09,https://apparel-brands-sample-09.example,Relevant ecommerce / shopify buyer opportunity signal 9,Ecommerce / Shopify Buyer,Atlanta,Atlanta,Relevant ecommerce / shopify buyer opportunity signal 9,affiliate influencer page sample 9,https://apparel-brands-sample-09.example/contact,hello9@apparel-brands-sample-09.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/9,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
Apparel Brands Sample 10,https://apparel-brands-sample-10.example,Relevant ecommerce / shopify buyer opportunity signal 10,Ecommerce / Shopify Buyer,Miami,Miami,Relevant ecommerce / shopify buyer opportunity signal 10,affiliate influencer page sample 10,https://apparel-brands-sample-10.example/contact,hello10@apparel-brands-sample-10.example,https://example.com/source/500-apparel-brands-with-influencer-affiliate-pages/10,Sample row for 500 Apparel Brands With Influencer/Affiliate Pages; replace with verified production data before outreach.
