company_name,website,city,state,service_type,lead_value_signal,booking_conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
Veterinary Clinics Sample 01,https://veterinary-clinics-sample-01.example,Los Angeles,CA,service type sample 1,No obvious online workflow found,No obvious online workflow found,(555) 010-100,hello1@veterinary-clinics-sample-01.example,https://veterinary-clinics-sample-01.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/1,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 02,https://veterinary-clinics-sample-02.example,San Diego,CA,service type sample 2,No obvious online workflow found,No obvious online workflow found,(555) 011-101,hello2@veterinary-clinics-sample-02.example,https://veterinary-clinics-sample-02.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/2,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 03,https://veterinary-clinics-sample-03.example,San Jose,CA,service type sample 3,No obvious online workflow found,No obvious online workflow found,(555) 012-102,hello3@veterinary-clinics-sample-03.example,https://veterinary-clinics-sample-03.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/3,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 04,https://veterinary-clinics-sample-04.example,Austin,TX,service type sample 4,No obvious online workflow found,No obvious online workflow found,(555) 013-103,hello4@veterinary-clinics-sample-04.example,https://veterinary-clinics-sample-04.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/4,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 05,https://veterinary-clinics-sample-05.example,Denver,CO,service type sample 5,No obvious online workflow found,No obvious online workflow found,(555) 014-104,hello5@veterinary-clinics-sample-05.example,https://veterinary-clinics-sample-05.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/5,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 06,https://veterinary-clinics-sample-06.example,Phoenix,AZ,service type sample 6,No obvious online workflow found,No obvious online workflow found,(555) 015-105,hello6@veterinary-clinics-sample-06.example,https://veterinary-clinics-sample-06.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/6,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 07,https://veterinary-clinics-sample-07.example,Chicago,IL,service type sample 7,No obvious online workflow found,No obvious online workflow found,(555) 016-106,hello7@veterinary-clinics-sample-07.example,https://veterinary-clinics-sample-07.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/7,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 08,https://veterinary-clinics-sample-08.example,Seattle,WA,service type sample 8,No obvious online workflow found,No obvious online workflow found,(555) 017-107,hello8@veterinary-clinics-sample-08.example,https://veterinary-clinics-sample-08.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/8,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 09,https://veterinary-clinics-sample-09.example,Atlanta,GA,service type sample 9,No obvious online workflow found,No obvious online workflow found,(555) 018-108,hello9@veterinary-clinics-sample-09.example,https://veterinary-clinics-sample-09.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/9,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
Veterinary Clinics Sample 10,https://veterinary-clinics-sample-10.example,Miami,FL,service type sample 10,No obvious online workflow found,No obvious online workflow found,(555) 019-109,hello10@veterinary-clinics-sample-10.example,https://veterinary-clinics-sample-10.example/contact,https://example.com/source/500-veterinary-clinics-without-online-booking/10,Sample row for 500 Veterinary Clinics Without Online Booking; replace with verified production data before outreach.
