organization_venue_name,website,city,state_market,event_category,booking_sponsor_signal,contact_page,public_email,phone,source_url,notes
organization venue name sample 1,https://wedding-planners-sample-01.example,Los Angeles,Los Angeles,Events and Venues,Relevant events and venues opportunity signal 1,https://wedding-planners-sample-01.example/contact,hello1@wedding-planners-sample-01.example,(555) 010-100,https://example.com/source/500-wedding-planners-with-vendor-pages/1,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 2,https://wedding-planners-sample-02.example,San Diego,San Diego,Events and Venues,Relevant events and venues opportunity signal 2,https://wedding-planners-sample-02.example/contact,hello2@wedding-planners-sample-02.example,(555) 011-101,https://example.com/source/500-wedding-planners-with-vendor-pages/2,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 3,https://wedding-planners-sample-03.example,San Jose,San Jose,Events and Venues,Relevant events and venues opportunity signal 3,https://wedding-planners-sample-03.example/contact,hello3@wedding-planners-sample-03.example,(555) 012-102,https://example.com/source/500-wedding-planners-with-vendor-pages/3,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 4,https://wedding-planners-sample-04.example,Austin,Austin,Events and Venues,Relevant events and venues opportunity signal 4,https://wedding-planners-sample-04.example/contact,hello4@wedding-planners-sample-04.example,(555) 013-103,https://example.com/source/500-wedding-planners-with-vendor-pages/4,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 5,https://wedding-planners-sample-05.example,Denver,Denver,Events and Venues,Relevant events and venues opportunity signal 5,https://wedding-planners-sample-05.example/contact,hello5@wedding-planners-sample-05.example,(555) 014-104,https://example.com/source/500-wedding-planners-with-vendor-pages/5,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 6,https://wedding-planners-sample-06.example,Phoenix,Phoenix,Events and Venues,Relevant events and venues opportunity signal 6,https://wedding-planners-sample-06.example/contact,hello6@wedding-planners-sample-06.example,(555) 015-105,https://example.com/source/500-wedding-planners-with-vendor-pages/6,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 7,https://wedding-planners-sample-07.example,Chicago,Chicago,Events and Venues,Relevant events and venues opportunity signal 7,https://wedding-planners-sample-07.example/contact,hello7@wedding-planners-sample-07.example,(555) 016-106,https://example.com/source/500-wedding-planners-with-vendor-pages/7,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 8,https://wedding-planners-sample-08.example,Seattle,Seattle,Events and Venues,Relevant events and venues opportunity signal 8,https://wedding-planners-sample-08.example/contact,hello8@wedding-planners-sample-08.example,(555) 017-107,https://example.com/source/500-wedding-planners-with-vendor-pages/8,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 9,https://wedding-planners-sample-09.example,Atlanta,Atlanta,Events and Venues,Relevant events and venues opportunity signal 9,https://wedding-planners-sample-09.example/contact,hello9@wedding-planners-sample-09.example,(555) 018-108,https://example.com/source/500-wedding-planners-with-vendor-pages/9,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
organization venue name sample 10,https://wedding-planners-sample-10.example,Miami,Miami,Events and Venues,Relevant events and venues opportunity signal 10,https://wedding-planners-sample-10.example/contact,hello10@wedding-planners-sample-10.example,(555) 019-109,https://example.com/source/500-wedding-planners-with-vendor-pages/10,Sample row for 500 Wedding Planners With Vendor Pages; replace with verified production data before outreach.
