company_name,website,city,state,service_type,phone,public_email,contact_page,source_url,notes
Med Spas Sample 01,https://med-spas-sample-01.example,Los Angeles,CA,service type sample 1,(555) 010-100,hello1@med-spas-sample-01.example,https://med-spas-sample-01.example/contact,https://example.com/source/500-med-spas-in-southern-california/1,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 02,https://med-spas-sample-02.example,San Diego,CA,service type sample 2,(555) 011-101,hello2@med-spas-sample-02.example,https://med-spas-sample-02.example/contact,https://example.com/source/500-med-spas-in-southern-california/2,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 03,https://med-spas-sample-03.example,San Jose,CA,service type sample 3,(555) 012-102,hello3@med-spas-sample-03.example,https://med-spas-sample-03.example/contact,https://example.com/source/500-med-spas-in-southern-california/3,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 04,https://med-spas-sample-04.example,Austin,TX,service type sample 4,(555) 013-103,hello4@med-spas-sample-04.example,https://med-spas-sample-04.example/contact,https://example.com/source/500-med-spas-in-southern-california/4,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 05,https://med-spas-sample-05.example,Denver,CO,service type sample 5,(555) 014-104,hello5@med-spas-sample-05.example,https://med-spas-sample-05.example/contact,https://example.com/source/500-med-spas-in-southern-california/5,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 06,https://med-spas-sample-06.example,Phoenix,AZ,service type sample 6,(555) 015-105,hello6@med-spas-sample-06.example,https://med-spas-sample-06.example/contact,https://example.com/source/500-med-spas-in-southern-california/6,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 07,https://med-spas-sample-07.example,Chicago,IL,service type sample 7,(555) 016-106,hello7@med-spas-sample-07.example,https://med-spas-sample-07.example/contact,https://example.com/source/500-med-spas-in-southern-california/7,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 08,https://med-spas-sample-08.example,Seattle,WA,service type sample 8,(555) 017-107,hello8@med-spas-sample-08.example,https://med-spas-sample-08.example/contact,https://example.com/source/500-med-spas-in-southern-california/8,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 09,https://med-spas-sample-09.example,Atlanta,GA,service type sample 9,(555) 018-108,hello9@med-spas-sample-09.example,https://med-spas-sample-09.example/contact,https://example.com/source/500-med-spas-in-southern-california/9,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
Med Spas Sample 10,https://med-spas-sample-10.example,Miami,FL,service type sample 10,(555) 019-109,hello10@med-spas-sample-10.example,https://med-spas-sample-10.example/contact,https://example.com/source/500-med-spas-in-southern-california/10,Sample row for 500 Med Spas in Southern California; replace with verified production data before outreach.
