business_name,website,city,state,opportunity_signal,issue_trigger,phone,public_email,contact_page,source_url,notes
Businesses Sample 01,https://businesses-sample-01.example,Los Angeles,CA,Expected conversion path appears missing,Expected conversion path appears missing,(555) 010-100,hello1@businesses-sample-01.example,https://businesses-sample-01.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/1,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 02,https://businesses-sample-02.example,San Diego,CA,Expected conversion path appears missing,Expected conversion path appears missing,(555) 011-101,hello2@businesses-sample-02.example,https://businesses-sample-02.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/2,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 03,https://businesses-sample-03.example,San Jose,CA,Expected conversion path appears missing,Expected conversion path appears missing,(555) 012-102,hello3@businesses-sample-03.example,https://businesses-sample-03.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/3,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 04,https://businesses-sample-04.example,Austin,TX,Expected conversion path appears missing,Expected conversion path appears missing,(555) 013-103,hello4@businesses-sample-04.example,https://businesses-sample-04.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/4,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 05,https://businesses-sample-05.example,Denver,CO,Expected conversion path appears missing,Expected conversion path appears missing,(555) 014-104,hello5@businesses-sample-05.example,https://businesses-sample-05.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/5,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 06,https://businesses-sample-06.example,Phoenix,AZ,Expected conversion path appears missing,Expected conversion path appears missing,(555) 015-105,hello6@businesses-sample-06.example,https://businesses-sample-06.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/6,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 07,https://businesses-sample-07.example,Chicago,IL,Expected conversion path appears missing,Expected conversion path appears missing,(555) 016-106,hello7@businesses-sample-07.example,https://businesses-sample-07.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/7,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 08,https://businesses-sample-08.example,Seattle,WA,Expected conversion path appears missing,Expected conversion path appears missing,(555) 017-107,hello8@businesses-sample-08.example,https://businesses-sample-08.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/8,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 09,https://businesses-sample-09.example,Atlanta,GA,Expected conversion path appears missing,Expected conversion path appears missing,(555) 018-108,hello9@businesses-sample-09.example,https://businesses-sample-09.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/9,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
Businesses Sample 10,https://businesses-sample-10.example,Miami,FL,Expected conversion path appears missing,Expected conversion path appears missing,(555) 019-109,hello10@businesses-sample-10.example,https://businesses-sample-10.example/contact,https://example.com/source/businesses-missing-email-addresses-on-their-website/10,Sample row for Businesses missing email addresses on their website; replace with verified production data before outreach.
