business_name,website_source_profile,city,state,category,review_count,rating_signal,website_gap,booking_conversion_gap,contact_page,phone,public_email,source_url,notes
Restaurants Sample 01,https://restaurants-sample-01.example,Los Angeles,CA,High-Review Website Gap,review count sample 1,Review/reputation follow-up opportunity,https://restaurants-sample-01.example,Review/reputation follow-up opportunity,https://restaurants-sample-01.example/contact,(555) 010-100,hello1@restaurants-sample-01.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/1,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 02,https://restaurants-sample-02.example,San Diego,CA,High-Review Website Gap,review count sample 2,Review/reputation follow-up opportunity,https://restaurants-sample-02.example,Review/reputation follow-up opportunity,https://restaurants-sample-02.example/contact,(555) 011-101,hello2@restaurants-sample-02.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/2,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 03,https://restaurants-sample-03.example,San Jose,CA,High-Review Website Gap,review count sample 3,Review/reputation follow-up opportunity,https://restaurants-sample-03.example,Review/reputation follow-up opportunity,https://restaurants-sample-03.example/contact,(555) 012-102,hello3@restaurants-sample-03.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/3,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 04,https://restaurants-sample-04.example,Austin,TX,High-Review Website Gap,review count sample 4,Review/reputation follow-up opportunity,https://restaurants-sample-04.example,Review/reputation follow-up opportunity,https://restaurants-sample-04.example/contact,(555) 013-103,hello4@restaurants-sample-04.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/4,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 05,https://restaurants-sample-05.example,Denver,CO,High-Review Website Gap,review count sample 5,Review/reputation follow-up opportunity,https://restaurants-sample-05.example,Review/reputation follow-up opportunity,https://restaurants-sample-05.example/contact,(555) 014-104,hello5@restaurants-sample-05.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/5,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 06,https://restaurants-sample-06.example,Phoenix,AZ,High-Review Website Gap,review count sample 6,Review/reputation follow-up opportunity,https://restaurants-sample-06.example,Review/reputation follow-up opportunity,https://restaurants-sample-06.example/contact,(555) 015-105,hello6@restaurants-sample-06.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/6,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 07,https://restaurants-sample-07.example,Chicago,IL,High-Review Website Gap,review count sample 7,Review/reputation follow-up opportunity,https://restaurants-sample-07.example,Review/reputation follow-up opportunity,https://restaurants-sample-07.example/contact,(555) 016-106,hello7@restaurants-sample-07.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/7,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 08,https://restaurants-sample-08.example,Seattle,WA,High-Review Website Gap,review count sample 8,Review/reputation follow-up opportunity,https://restaurants-sample-08.example,Review/reputation follow-up opportunity,https://restaurants-sample-08.example/contact,(555) 017-107,hello8@restaurants-sample-08.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/8,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 09,https://restaurants-sample-09.example,Atlanta,GA,High-Review Website Gap,review count sample 9,Review/reputation follow-up opportunity,https://restaurants-sample-09.example,Review/reputation follow-up opportunity,https://restaurants-sample-09.example/contact,(555) 018-108,hello9@restaurants-sample-09.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/9,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
Restaurants Sample 10,https://restaurants-sample-10.example,Miami,FL,High-Review Website Gap,review count sample 10,Review/reputation follow-up opportunity,https://restaurants-sample-10.example,Review/reputation follow-up opportunity,https://restaurants-sample-10.example/contact,(555) 019-109,hello10@restaurants-sample-10.example,https://example.com/source/500-restaurants-with-strong-reviews-but-no-catering-page/10,Sample row for 500 Restaurants With Strong Reviews But No Catering Page; replace with verified production data before outreach.
