business_creator_name,website_profile_url,city,state_market,category,recent_activity_signal,activity_date_recency_window,opportunity_gap,public_contact_path,source_url,notes
business creator name sample 1,https://churches-sample-01.example,Los Angeles,Los Angeles,Recently Active,Outdated site signals visible in public web review,2026-04-10,Outdated site signals visible in public web review,https://churches-sample-01.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/1,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 2,https://churches-sample-02.example,San Diego,San Diego,Recently Active,Outdated site signals visible in public web review,2026-04-11,Outdated site signals visible in public web review,https://churches-sample-02.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/2,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 3,https://churches-sample-03.example,San Jose,San Jose,Recently Active,Outdated site signals visible in public web review,2026-04-12,Outdated site signals visible in public web review,https://churches-sample-03.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/3,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 4,https://churches-sample-04.example,Austin,Austin,Recently Active,Outdated site signals visible in public web review,2026-04-13,Outdated site signals visible in public web review,https://churches-sample-04.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/4,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 5,https://churches-sample-05.example,Denver,Denver,Recently Active,Outdated site signals visible in public web review,2026-04-14,Outdated site signals visible in public web review,https://churches-sample-05.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/5,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 6,https://churches-sample-06.example,Phoenix,Phoenix,Recently Active,Outdated site signals visible in public web review,2026-04-15,Outdated site signals visible in public web review,https://churches-sample-06.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/6,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 7,https://churches-sample-07.example,Chicago,Chicago,Recently Active,Outdated site signals visible in public web review,2026-04-16,Outdated site signals visible in public web review,https://churches-sample-07.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/7,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 8,https://churches-sample-08.example,Seattle,Seattle,Recently Active,Outdated site signals visible in public web review,2026-04-17,Outdated site signals visible in public web review,https://churches-sample-08.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/8,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 9,https://churches-sample-09.example,Atlanta,Atlanta,Recently Active,Outdated site signals visible in public web review,2026-04-18,Outdated site signals visible in public web review,https://churches-sample-09.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/9,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
business creator name sample 10,https://churches-sample-10.example,Miami,Miami,Recently Active,Outdated site signals visible in public web review,2026-04-19,Outdated site signals visible in public web review,https://churches-sample-10.example/contact,https://example.com/source/500-churches-with-recent-events-but-outdated-donation-pages/10,Sample row for 500 Churches With Recent Events But Outdated Donation Pages; replace with verified production data before outreach.
