company_name,website,city,state,service_type,phone,public_email,contact_page,source_url,notes
Boutique Hotels Sample 01,https://boutique-hotels-sample-01.example,Los Angeles,CA,service type sample 1,(555) 010-100,hello1@boutique-hotels-sample-01.example,https://boutique-hotels-sample-01.example/contact,https://example.com/source/500-boutique-hotels-in-california/1,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 02,https://boutique-hotels-sample-02.example,San Diego,CA,service type sample 2,(555) 011-101,hello2@boutique-hotels-sample-02.example,https://boutique-hotels-sample-02.example/contact,https://example.com/source/500-boutique-hotels-in-california/2,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 03,https://boutique-hotels-sample-03.example,San Jose,CA,service type sample 3,(555) 012-102,hello3@boutique-hotels-sample-03.example,https://boutique-hotels-sample-03.example/contact,https://example.com/source/500-boutique-hotels-in-california/3,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 04,https://boutique-hotels-sample-04.example,Austin,TX,service type sample 4,(555) 013-103,hello4@boutique-hotels-sample-04.example,https://boutique-hotels-sample-04.example/contact,https://example.com/source/500-boutique-hotels-in-california/4,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 05,https://boutique-hotels-sample-05.example,Denver,CO,service type sample 5,(555) 014-104,hello5@boutique-hotels-sample-05.example,https://boutique-hotels-sample-05.example/contact,https://example.com/source/500-boutique-hotels-in-california/5,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 06,https://boutique-hotels-sample-06.example,Phoenix,AZ,service type sample 6,(555) 015-105,hello6@boutique-hotels-sample-06.example,https://boutique-hotels-sample-06.example/contact,https://example.com/source/500-boutique-hotels-in-california/6,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 07,https://boutique-hotels-sample-07.example,Chicago,IL,service type sample 7,(555) 016-106,hello7@boutique-hotels-sample-07.example,https://boutique-hotels-sample-07.example/contact,https://example.com/source/500-boutique-hotels-in-california/7,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 08,https://boutique-hotels-sample-08.example,Seattle,WA,service type sample 8,(555) 017-107,hello8@boutique-hotels-sample-08.example,https://boutique-hotels-sample-08.example/contact,https://example.com/source/500-boutique-hotels-in-california/8,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 09,https://boutique-hotels-sample-09.example,Atlanta,GA,service type sample 9,(555) 018-108,hello9@boutique-hotels-sample-09.example,https://boutique-hotels-sample-09.example/contact,https://example.com/source/500-boutique-hotels-in-california/9,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
Boutique Hotels Sample 10,https://boutique-hotels-sample-10.example,Miami,FL,service type sample 10,(555) 019-109,hello10@boutique-hotels-sample-10.example,https://boutique-hotels-sample-10.example/contact,https://example.com/source/500-boutique-hotels-in-california/10,Sample row for 500 Boutique Hotels in California; replace with verified production data before outreach.
