business_name,website,city,state,automation_gap,intake_lead_capture_signal,contact_page,phone,public_email,source_url,notes
Clinics Sample 01,https://clinics-sample-01.example,Los Angeles,CA,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-01.example/contact,(555) 010-100,hello1@clinics-sample-01.example,https://example.com/source/500-clinics-without-online-intake/1,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 02,https://clinics-sample-02.example,San Diego,CA,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-02.example/contact,(555) 011-101,hello2@clinics-sample-02.example,https://example.com/source/500-clinics-without-online-intake/2,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 03,https://clinics-sample-03.example,San Jose,CA,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-03.example/contact,(555) 012-102,hello3@clinics-sample-03.example,https://example.com/source/500-clinics-without-online-intake/3,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 04,https://clinics-sample-04.example,Austin,TX,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-04.example/contact,(555) 013-103,hello4@clinics-sample-04.example,https://example.com/source/500-clinics-without-online-intake/4,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 05,https://clinics-sample-05.example,Denver,CO,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-05.example/contact,(555) 014-104,hello5@clinics-sample-05.example,https://example.com/source/500-clinics-without-online-intake/5,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 06,https://clinics-sample-06.example,Phoenix,AZ,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-06.example/contact,(555) 015-105,hello6@clinics-sample-06.example,https://example.com/source/500-clinics-without-online-intake/6,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 07,https://clinics-sample-07.example,Chicago,IL,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-07.example/contact,(555) 016-106,hello7@clinics-sample-07.example,https://example.com/source/500-clinics-without-online-intake/7,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 08,https://clinics-sample-08.example,Seattle,WA,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-08.example/contact,(555) 017-107,hello8@clinics-sample-08.example,https://example.com/source/500-clinics-without-online-intake/8,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 09,https://clinics-sample-09.example,Atlanta,GA,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-09.example/contact,(555) 018-108,hello9@clinics-sample-09.example,https://example.com/source/500-clinics-without-online-intake/9,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
Clinics Sample 10,https://clinics-sample-10.example,Miami,FL,No obvious online workflow found,No obvious online workflow found,https://clinics-sample-10.example/contact,(555) 019-109,hello10@clinics-sample-10.example,https://example.com/source/500-clinics-without-online-intake/10,Sample row for 500 Clinics Without Online Intake; replace with verified production data before outreach.
