business_name,website,city,state,software_gap,booking_quote_status,contact_page,phone,public_email,source_url,notes
Roofers Sample 01,https://roofers-sample-01.example,Los Angeles,CA,Relevant software gap opportunity signal 1,Relevant software gap opportunity signal 1,https://roofers-sample-01.example/contact,(555) 010-100,hello1@roofers-sample-01.example,https://example.com/source/roofers-without-estimate-forms/1,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 02,https://roofers-sample-02.example,San Diego,CA,Relevant software gap opportunity signal 2,Relevant software gap opportunity signal 2,https://roofers-sample-02.example/contact,(555) 011-101,hello2@roofers-sample-02.example,https://example.com/source/roofers-without-estimate-forms/2,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 03,https://roofers-sample-03.example,San Jose,CA,Relevant software gap opportunity signal 3,Relevant software gap opportunity signal 3,https://roofers-sample-03.example/contact,(555) 012-102,hello3@roofers-sample-03.example,https://example.com/source/roofers-without-estimate-forms/3,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 04,https://roofers-sample-04.example,Austin,TX,Relevant software gap opportunity signal 4,Relevant software gap opportunity signal 4,https://roofers-sample-04.example/contact,(555) 013-103,hello4@roofers-sample-04.example,https://example.com/source/roofers-without-estimate-forms/4,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 05,https://roofers-sample-05.example,Denver,CO,Relevant software gap opportunity signal 5,Relevant software gap opportunity signal 5,https://roofers-sample-05.example/contact,(555) 014-104,hello5@roofers-sample-05.example,https://example.com/source/roofers-without-estimate-forms/5,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 06,https://roofers-sample-06.example,Phoenix,AZ,Relevant software gap opportunity signal 6,Relevant software gap opportunity signal 6,https://roofers-sample-06.example/contact,(555) 015-105,hello6@roofers-sample-06.example,https://example.com/source/roofers-without-estimate-forms/6,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 07,https://roofers-sample-07.example,Chicago,IL,Relevant software gap opportunity signal 7,Relevant software gap opportunity signal 7,https://roofers-sample-07.example/contact,(555) 016-106,hello7@roofers-sample-07.example,https://example.com/source/roofers-without-estimate-forms/7,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 08,https://roofers-sample-08.example,Seattle,WA,Relevant software gap opportunity signal 8,Relevant software gap opportunity signal 8,https://roofers-sample-08.example/contact,(555) 017-107,hello8@roofers-sample-08.example,https://example.com/source/roofers-without-estimate-forms/8,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 09,https://roofers-sample-09.example,Atlanta,GA,Relevant software gap opportunity signal 9,Relevant software gap opportunity signal 9,https://roofers-sample-09.example/contact,(555) 018-108,hello9@roofers-sample-09.example,https://example.com/source/roofers-without-estimate-forms/9,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
Roofers Sample 10,https://roofers-sample-10.example,Miami,FL,Relevant software gap opportunity signal 10,Relevant software gap opportunity signal 10,https://roofers-sample-10.example/contact,(555) 019-109,hello10@roofers-sample-10.example,https://example.com/source/roofers-without-estimate-forms/10,Sample row for Roofers without estimate forms; replace with verified production data before outreach.
