company_name,website,city,state,service_type,lead_value_signal,booking_conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
Addiction Treatment Centers Sample 01,https://addiction-treatment-centers-sample-01.example,Los Angeles,CA,service type sample 1,Relevant professional services opportunity signal 1,Relevant professional services opportunity signal 1,(555) 010-100,hello1@addiction-treatment-centers-sample-01.example,https://addiction-treatment-centers-sample-01.example/contact,https://example.com/source/500-addiction-treatment-centers/1,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 02,https://addiction-treatment-centers-sample-02.example,San Diego,CA,service type sample 2,Relevant professional services opportunity signal 2,Relevant professional services opportunity signal 2,(555) 011-101,hello2@addiction-treatment-centers-sample-02.example,https://addiction-treatment-centers-sample-02.example/contact,https://example.com/source/500-addiction-treatment-centers/2,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 03,https://addiction-treatment-centers-sample-03.example,San Jose,CA,service type sample 3,Relevant professional services opportunity signal 3,Relevant professional services opportunity signal 3,(555) 012-102,hello3@addiction-treatment-centers-sample-03.example,https://addiction-treatment-centers-sample-03.example/contact,https://example.com/source/500-addiction-treatment-centers/3,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 04,https://addiction-treatment-centers-sample-04.example,Austin,TX,service type sample 4,Relevant professional services opportunity signal 4,Relevant professional services opportunity signal 4,(555) 013-103,hello4@addiction-treatment-centers-sample-04.example,https://addiction-treatment-centers-sample-04.example/contact,https://example.com/source/500-addiction-treatment-centers/4,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 05,https://addiction-treatment-centers-sample-05.example,Denver,CO,service type sample 5,Relevant professional services opportunity signal 5,Relevant professional services opportunity signal 5,(555) 014-104,hello5@addiction-treatment-centers-sample-05.example,https://addiction-treatment-centers-sample-05.example/contact,https://example.com/source/500-addiction-treatment-centers/5,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 06,https://addiction-treatment-centers-sample-06.example,Phoenix,AZ,service type sample 6,Relevant professional services opportunity signal 6,Relevant professional services opportunity signal 6,(555) 015-105,hello6@addiction-treatment-centers-sample-06.example,https://addiction-treatment-centers-sample-06.example/contact,https://example.com/source/500-addiction-treatment-centers/6,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 07,https://addiction-treatment-centers-sample-07.example,Chicago,IL,service type sample 7,Relevant professional services opportunity signal 7,Relevant professional services opportunity signal 7,(555) 016-106,hello7@addiction-treatment-centers-sample-07.example,https://addiction-treatment-centers-sample-07.example/contact,https://example.com/source/500-addiction-treatment-centers/7,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 08,https://addiction-treatment-centers-sample-08.example,Seattle,WA,service type sample 8,Relevant professional services opportunity signal 8,Relevant professional services opportunity signal 8,(555) 017-107,hello8@addiction-treatment-centers-sample-08.example,https://addiction-treatment-centers-sample-08.example/contact,https://example.com/source/500-addiction-treatment-centers/8,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 09,https://addiction-treatment-centers-sample-09.example,Atlanta,GA,service type sample 9,Relevant professional services opportunity signal 9,Relevant professional services opportunity signal 9,(555) 018-108,hello9@addiction-treatment-centers-sample-09.example,https://addiction-treatment-centers-sample-09.example/contact,https://example.com/source/500-addiction-treatment-centers/9,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
Addiction Treatment Centers Sample 10,https://addiction-treatment-centers-sample-10.example,Miami,FL,service type sample 10,Relevant professional services opportunity signal 10,Relevant professional services opportunity signal 10,(555) 019-109,hello10@addiction-treatment-centers-sample-10.example,https://addiction-treatment-centers-sample-10.example/contact,https://example.com/source/500-addiction-treatment-centers/10,Sample row for 500 Addiction Treatment Centers; replace with verified production data before outreach.
