organization_venue_name,website,city,state_market,event_category,booking_sponsor_signal,contact_page,public_email,phone,source_url,notes
organization venue name sample 1,https://comedy-clubs-sample-01.example,Los Angeles,Los Angeles,Events and Venues,Relevant events and venues opportunity signal 1,https://comedy-clubs-sample-01.example/contact,hello1@comedy-clubs-sample-01.example,(555) 010-100,https://example.com/source/500-comedy-clubs-with-booking-contacts/1,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 2,https://comedy-clubs-sample-02.example,San Diego,San Diego,Events and Venues,Relevant events and venues opportunity signal 2,https://comedy-clubs-sample-02.example/contact,hello2@comedy-clubs-sample-02.example,(555) 011-101,https://example.com/source/500-comedy-clubs-with-booking-contacts/2,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 3,https://comedy-clubs-sample-03.example,San Jose,San Jose,Events and Venues,Relevant events and venues opportunity signal 3,https://comedy-clubs-sample-03.example/contact,hello3@comedy-clubs-sample-03.example,(555) 012-102,https://example.com/source/500-comedy-clubs-with-booking-contacts/3,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 4,https://comedy-clubs-sample-04.example,Austin,Austin,Events and Venues,Relevant events and venues opportunity signal 4,https://comedy-clubs-sample-04.example/contact,hello4@comedy-clubs-sample-04.example,(555) 013-103,https://example.com/source/500-comedy-clubs-with-booking-contacts/4,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 5,https://comedy-clubs-sample-05.example,Denver,Denver,Events and Venues,Relevant events and venues opportunity signal 5,https://comedy-clubs-sample-05.example/contact,hello5@comedy-clubs-sample-05.example,(555) 014-104,https://example.com/source/500-comedy-clubs-with-booking-contacts/5,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 6,https://comedy-clubs-sample-06.example,Phoenix,Phoenix,Events and Venues,Relevant events and venues opportunity signal 6,https://comedy-clubs-sample-06.example/contact,hello6@comedy-clubs-sample-06.example,(555) 015-105,https://example.com/source/500-comedy-clubs-with-booking-contacts/6,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 7,https://comedy-clubs-sample-07.example,Chicago,Chicago,Events and Venues,Relevant events and venues opportunity signal 7,https://comedy-clubs-sample-07.example/contact,hello7@comedy-clubs-sample-07.example,(555) 016-106,https://example.com/source/500-comedy-clubs-with-booking-contacts/7,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 8,https://comedy-clubs-sample-08.example,Seattle,Seattle,Events and Venues,Relevant events and venues opportunity signal 8,https://comedy-clubs-sample-08.example/contact,hello8@comedy-clubs-sample-08.example,(555) 017-107,https://example.com/source/500-comedy-clubs-with-booking-contacts/8,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 9,https://comedy-clubs-sample-09.example,Atlanta,Atlanta,Events and Venues,Relevant events and venues opportunity signal 9,https://comedy-clubs-sample-09.example/contact,hello9@comedy-clubs-sample-09.example,(555) 018-108,https://example.com/source/500-comedy-clubs-with-booking-contacts/9,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
organization venue name sample 10,https://comedy-clubs-sample-10.example,Miami,Miami,Events and Venues,Relevant events and venues opportunity signal 10,https://comedy-clubs-sample-10.example/contact,hello10@comedy-clubs-sample-10.example,(555) 019-109,https://example.com/source/500-comedy-clubs-with-booking-contacts/10,Sample row for 500 Comedy Clubs With Booking Contacts; replace with verified production data before outreach.
