company_name,website,city,state,service_type,lead_value_signal,conversion_gap_where_visible,phone,public_email,contact_page,source_url,notes
Chiropractors Sample 01,https://chiropractors-sample-01.example,Los Angeles,CA,service type sample 1,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 010-100,hello1@chiropractors-sample-01.example,https://chiropractors-sample-01.example/contact,https://example.com/source/500-chiropractors-running-ads/1,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 02,https://chiropractors-sample-02.example,San Diego,CA,service type sample 2,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 011-101,hello2@chiropractors-sample-02.example,https://chiropractors-sample-02.example/contact,https://example.com/source/500-chiropractors-running-ads/2,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 03,https://chiropractors-sample-03.example,San Jose,CA,service type sample 3,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 012-102,hello3@chiropractors-sample-03.example,https://chiropractors-sample-03.example/contact,https://example.com/source/500-chiropractors-running-ads/3,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 04,https://chiropractors-sample-04.example,Austin,TX,service type sample 4,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 013-103,hello4@chiropractors-sample-04.example,https://chiropractors-sample-04.example/contact,https://example.com/source/500-chiropractors-running-ads/4,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 05,https://chiropractors-sample-05.example,Denver,CO,service type sample 5,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 014-104,hello5@chiropractors-sample-05.example,https://chiropractors-sample-05.example/contact,https://example.com/source/500-chiropractors-running-ads/5,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 06,https://chiropractors-sample-06.example,Phoenix,AZ,service type sample 6,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 015-105,hello6@chiropractors-sample-06.example,https://chiropractors-sample-06.example/contact,https://example.com/source/500-chiropractors-running-ads/6,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 07,https://chiropractors-sample-07.example,Chicago,IL,service type sample 7,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 016-106,hello7@chiropractors-sample-07.example,https://chiropractors-sample-07.example/contact,https://example.com/source/500-chiropractors-running-ads/7,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 08,https://chiropractors-sample-08.example,Seattle,WA,service type sample 8,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 017-107,hello8@chiropractors-sample-08.example,https://chiropractors-sample-08.example/contact,https://example.com/source/500-chiropractors-running-ads/8,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 09,https://chiropractors-sample-09.example,Atlanta,GA,service type sample 9,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 018-108,hello9@chiropractors-sample-09.example,https://chiropractors-sample-09.example/contact,https://example.com/source/500-chiropractors-running-ads/9,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
Chiropractors Sample 10,https://chiropractors-sample-10.example,Miami,FL,service type sample 10,Paid traffic signal with weak conversion path,Paid traffic signal with weak conversion path,(555) 019-109,hello10@chiropractors-sample-10.example,https://chiropractors-sample-10.example/contact,https://example.com/source/500-chiropractors-running-ads/10,Sample row for 500 Chiropractors Running Ads; replace with verified production data before outreach.
