name,website,city,phone,public_email,contact_page,lead_score,contactability_score,urgency_score,tech_gap,ad_signal,suggested_outreach_angle,cold_email_prompt,source_urls,notes
Restaurants Sample 01,https://restaurants-sample-01.example,Los Angeles,(555) 010-100,hello1@restaurants-sample-01.example,https://restaurants-sample-01.example/contact,78,78,78,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello1@restaurants-sample-01.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/1,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 02,https://restaurants-sample-02.example,San Diego,(555) 011-101,hello2@restaurants-sample-02.example,https://restaurants-sample-02.example/contact,79,79,79,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello2@restaurants-sample-02.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/2,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 03,https://restaurants-sample-03.example,San Jose,(555) 012-102,hello3@restaurants-sample-03.example,https://restaurants-sample-03.example/contact,80,80,80,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello3@restaurants-sample-03.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/3,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 04,https://restaurants-sample-04.example,Austin,(555) 013-103,hello4@restaurants-sample-04.example,https://restaurants-sample-04.example/contact,81,81,81,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello4@restaurants-sample-04.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/4,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 05,https://restaurants-sample-05.example,Denver,(555) 014-104,hello5@restaurants-sample-05.example,https://restaurants-sample-05.example/contact,82,82,82,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello5@restaurants-sample-05.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/5,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 06,https://restaurants-sample-06.example,Phoenix,(555) 015-105,hello6@restaurants-sample-06.example,https://restaurants-sample-06.example/contact,83,83,83,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello6@restaurants-sample-06.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/6,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 07,https://restaurants-sample-07.example,Chicago,(555) 016-106,hello7@restaurants-sample-07.example,https://restaurants-sample-07.example/contact,84,84,84,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello7@restaurants-sample-07.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/7,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 08,https://restaurants-sample-08.example,Seattle,(555) 017-107,hello8@restaurants-sample-08.example,https://restaurants-sample-08.example/contact,85,85,85,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello8@restaurants-sample-08.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/8,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 09,https://restaurants-sample-09.example,Atlanta,(555) 018-108,hello9@restaurants-sample-09.example,https://restaurants-sample-09.example/contact,86,86,86,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello9@restaurants-sample-09.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/9,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
Restaurants Sample 10,https://restaurants-sample-10.example,Miami,(555) 019-109,hello10@restaurants-sample-10.example,https://restaurants-sample-10.example/contact,87,87,87,No obvious online workflow found,No obvious online workflow found,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.,hello10@restaurants-sample-10.example,https://example.com/source/500-restaurants-without-online-ordering-agent-stats-edition/10,Sample row for 500 Restaurants Without Online Ordering - Agent Stats Edition; replace with verified production data before outreach.
