creator_company_name,website,platform,niche,public_email,contact_page,social_link,sponsor_booking_page,source_url,notes
creator company name sample 1,https://podcasters-sample-01.example,https://www.instagram.com/podcasters-sample-01,niche sample 1,hello1@podcasters-sample-01.example,https://podcasters-sample-01.example/contact,https://www.instagram.com/podcasters-sample-01,Relevant creator intelligence opportunity signal 1,https://example.com/source/podcasters-with-sponsor-contacts/1,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 2,https://podcasters-sample-02.example,https://www.instagram.com/podcasters-sample-02,niche sample 2,hello2@podcasters-sample-02.example,https://podcasters-sample-02.example/contact,https://www.instagram.com/podcasters-sample-02,Relevant creator intelligence opportunity signal 2,https://example.com/source/podcasters-with-sponsor-contacts/2,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 3,https://podcasters-sample-03.example,https://www.instagram.com/podcasters-sample-03,niche sample 3,hello3@podcasters-sample-03.example,https://podcasters-sample-03.example/contact,https://www.instagram.com/podcasters-sample-03,Relevant creator intelligence opportunity signal 3,https://example.com/source/podcasters-with-sponsor-contacts/3,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 4,https://podcasters-sample-04.example,https://www.instagram.com/podcasters-sample-04,niche sample 4,hello4@podcasters-sample-04.example,https://podcasters-sample-04.example/contact,https://www.instagram.com/podcasters-sample-04,Relevant creator intelligence opportunity signal 4,https://example.com/source/podcasters-with-sponsor-contacts/4,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 5,https://podcasters-sample-05.example,https://www.instagram.com/podcasters-sample-05,niche sample 5,hello5@podcasters-sample-05.example,https://podcasters-sample-05.example/contact,https://www.instagram.com/podcasters-sample-05,Relevant creator intelligence opportunity signal 5,https://example.com/source/podcasters-with-sponsor-contacts/5,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 6,https://podcasters-sample-06.example,https://www.instagram.com/podcasters-sample-06,niche sample 6,hello6@podcasters-sample-06.example,https://podcasters-sample-06.example/contact,https://www.instagram.com/podcasters-sample-06,Relevant creator intelligence opportunity signal 6,https://example.com/source/podcasters-with-sponsor-contacts/6,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 7,https://podcasters-sample-07.example,https://www.instagram.com/podcasters-sample-07,niche sample 7,hello7@podcasters-sample-07.example,https://podcasters-sample-07.example/contact,https://www.instagram.com/podcasters-sample-07,Relevant creator intelligence opportunity signal 7,https://example.com/source/podcasters-with-sponsor-contacts/7,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 8,https://podcasters-sample-08.example,https://www.instagram.com/podcasters-sample-08,niche sample 8,hello8@podcasters-sample-08.example,https://podcasters-sample-08.example/contact,https://www.instagram.com/podcasters-sample-08,Relevant creator intelligence opportunity signal 8,https://example.com/source/podcasters-with-sponsor-contacts/8,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 9,https://podcasters-sample-09.example,https://www.instagram.com/podcasters-sample-09,niche sample 9,hello9@podcasters-sample-09.example,https://podcasters-sample-09.example/contact,https://www.instagram.com/podcasters-sample-09,Relevant creator intelligence opportunity signal 9,https://example.com/source/podcasters-with-sponsor-contacts/9,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
creator company name sample 10,https://podcasters-sample-10.example,https://www.instagram.com/podcasters-sample-10,niche sample 10,hello10@podcasters-sample-10.example,https://podcasters-sample-10.example/contact,https://www.instagram.com/podcasters-sample-10,Relevant creator intelligence opportunity signal 10,https://example.com/source/podcasters-with-sponsor-contacts/10,Sample row for Podcasters with sponsor contacts; replace with verified production data before outreach.
