business_creator_name,website_profile_url,city,state_market,category,recent_activity_signal,activity_date_recency_window,opportunity_gap,public_contact_path,source_url,notes
business creator name sample 1,https://businesses-sample-01.example,Los Angeles,Los Angeles,Recently Active,Relevant recently active opportunity signal 1,2026-04-10,Relevant recently active opportunity signal 1,https://businesses-sample-01.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/1,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 2,https://businesses-sample-02.example,San Diego,San Diego,Recently Active,Relevant recently active opportunity signal 2,2026-04-11,Relevant recently active opportunity signal 2,https://businesses-sample-02.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/2,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 3,https://businesses-sample-03.example,San Jose,San Jose,Recently Active,Relevant recently active opportunity signal 3,2026-04-12,Relevant recently active opportunity signal 3,https://businesses-sample-03.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/3,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 4,https://businesses-sample-04.example,Austin,Austin,Recently Active,Relevant recently active opportunity signal 4,2026-04-13,Relevant recently active opportunity signal 4,https://businesses-sample-04.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/4,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 5,https://businesses-sample-05.example,Denver,Denver,Recently Active,Relevant recently active opportunity signal 5,2026-04-14,Relevant recently active opportunity signal 5,https://businesses-sample-05.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/5,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 6,https://businesses-sample-06.example,Phoenix,Phoenix,Recently Active,Relevant recently active opportunity signal 6,2026-04-15,Relevant recently active opportunity signal 6,https://businesses-sample-06.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/6,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 7,https://businesses-sample-07.example,Chicago,Chicago,Recently Active,Relevant recently active opportunity signal 7,2026-04-16,Relevant recently active opportunity signal 7,https://businesses-sample-07.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/7,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 8,https://businesses-sample-08.example,Seattle,Seattle,Recently Active,Relevant recently active opportunity signal 8,2026-04-17,Relevant recently active opportunity signal 8,https://businesses-sample-08.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/8,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 9,https://businesses-sample-09.example,Atlanta,Atlanta,Recently Active,Relevant recently active opportunity signal 9,2026-04-18,Relevant recently active opportunity signal 9,https://businesses-sample-09.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/9,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
business creator name sample 10,https://businesses-sample-10.example,Miami,Miami,Recently Active,Relevant recently active opportunity signal 10,2026-04-19,Relevant recently active opportunity signal 10,https://businesses-sample-10.example/contact,https://example.com/source/500-businesses-that-posted-on-instagram-in-the-last-30-days/10,Sample row for 500 Businesses That Posted on Instagram in the Last 30 Days; replace with verified production data before outreach.
