organization_contact_name,website,city,state,group_type,sponsorship_contact_page,public_email,phone,social_link,source_url,notes
organization contact name sample 1,https://latino-business-associations-sample-01.example,Los Angeles,CA,group type sample 1,https://latino-business-associations-sample-01.example/contact,hello1@latino-business-associations-sample-01.example,(555) 010-100,https://www.instagram.com/latino-business-associations-sample-01,https://example.com/source/latino-business-associations/1,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 2,https://latino-business-associations-sample-02.example,San Diego,CA,group type sample 2,https://latino-business-associations-sample-02.example/contact,hello2@latino-business-associations-sample-02.example,(555) 011-101,https://www.instagram.com/latino-business-associations-sample-02,https://example.com/source/latino-business-associations/2,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 3,https://latino-business-associations-sample-03.example,San Jose,CA,group type sample 3,https://latino-business-associations-sample-03.example/contact,hello3@latino-business-associations-sample-03.example,(555) 012-102,https://www.instagram.com/latino-business-associations-sample-03,https://example.com/source/latino-business-associations/3,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 4,https://latino-business-associations-sample-04.example,Austin,TX,group type sample 4,https://latino-business-associations-sample-04.example/contact,hello4@latino-business-associations-sample-04.example,(555) 013-103,https://www.instagram.com/latino-business-associations-sample-04,https://example.com/source/latino-business-associations/4,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 5,https://latino-business-associations-sample-05.example,Denver,CO,group type sample 5,https://latino-business-associations-sample-05.example/contact,hello5@latino-business-associations-sample-05.example,(555) 014-104,https://www.instagram.com/latino-business-associations-sample-05,https://example.com/source/latino-business-associations/5,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 6,https://latino-business-associations-sample-06.example,Phoenix,AZ,group type sample 6,https://latino-business-associations-sample-06.example/contact,hello6@latino-business-associations-sample-06.example,(555) 015-105,https://www.instagram.com/latino-business-associations-sample-06,https://example.com/source/latino-business-associations/6,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 7,https://latino-business-associations-sample-07.example,Chicago,IL,group type sample 7,https://latino-business-associations-sample-07.example/contact,hello7@latino-business-associations-sample-07.example,(555) 016-106,https://www.instagram.com/latino-business-associations-sample-07,https://example.com/source/latino-business-associations/7,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 8,https://latino-business-associations-sample-08.example,Seattle,WA,group type sample 8,https://latino-business-associations-sample-08.example/contact,hello8@latino-business-associations-sample-08.example,(555) 017-107,https://www.instagram.com/latino-business-associations-sample-08,https://example.com/source/latino-business-associations/8,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 9,https://latino-business-associations-sample-09.example,Atlanta,GA,group type sample 9,https://latino-business-associations-sample-09.example/contact,hello9@latino-business-associations-sample-09.example,(555) 018-108,https://www.instagram.com/latino-business-associations-sample-09,https://example.com/source/latino-business-associations/9,Sample row for Latino business associations; replace with verified production data before outreach.
organization contact name sample 10,https://latino-business-associations-sample-10.example,Miami,FL,group type sample 10,https://latino-business-associations-sample-10.example/contact,hello10@latino-business-associations-sample-10.example,(555) 019-109,https://www.instagram.com/latino-business-associations-sample-10,https://example.com/source/latino-business-associations/10,Sample row for Latino business associations; replace with verified production data before outreach.
