business_name,website,city,state,category,ad_keyword_market_signal,landing_page_url,landing_page_weakness,contact_page,phone,public_email,source_url,notes
HVAC Companies Sample 01,https://hvac-companies-sample-01.example,Los Angeles,CA,Ad Spend Signal,Los Angeles,https://hvac-companies-sample-01.example,https://hvac-companies-sample-01.example,https://hvac-companies-sample-01.example/contact,(555) 010-100,hello1@hvac-companies-sample-01.example,https://example.com/source/500-hvac-companies-running-google-ads/1,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 02,https://hvac-companies-sample-02.example,San Diego,CA,Ad Spend Signal,San Diego,https://hvac-companies-sample-02.example,https://hvac-companies-sample-02.example,https://hvac-companies-sample-02.example/contact,(555) 011-101,hello2@hvac-companies-sample-02.example,https://example.com/source/500-hvac-companies-running-google-ads/2,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 03,https://hvac-companies-sample-03.example,San Jose,CA,Ad Spend Signal,San Jose,https://hvac-companies-sample-03.example,https://hvac-companies-sample-03.example,https://hvac-companies-sample-03.example/contact,(555) 012-102,hello3@hvac-companies-sample-03.example,https://example.com/source/500-hvac-companies-running-google-ads/3,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 04,https://hvac-companies-sample-04.example,Austin,TX,Ad Spend Signal,Austin,https://hvac-companies-sample-04.example,https://hvac-companies-sample-04.example,https://hvac-companies-sample-04.example/contact,(555) 013-103,hello4@hvac-companies-sample-04.example,https://example.com/source/500-hvac-companies-running-google-ads/4,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 05,https://hvac-companies-sample-05.example,Denver,CO,Ad Spend Signal,Denver,https://hvac-companies-sample-05.example,https://hvac-companies-sample-05.example,https://hvac-companies-sample-05.example/contact,(555) 014-104,hello5@hvac-companies-sample-05.example,https://example.com/source/500-hvac-companies-running-google-ads/5,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 06,https://hvac-companies-sample-06.example,Phoenix,AZ,Ad Spend Signal,Phoenix,https://hvac-companies-sample-06.example,https://hvac-companies-sample-06.example,https://hvac-companies-sample-06.example/contact,(555) 015-105,hello6@hvac-companies-sample-06.example,https://example.com/source/500-hvac-companies-running-google-ads/6,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 07,https://hvac-companies-sample-07.example,Chicago,IL,Ad Spend Signal,Chicago,https://hvac-companies-sample-07.example,https://hvac-companies-sample-07.example,https://hvac-companies-sample-07.example/contact,(555) 016-106,hello7@hvac-companies-sample-07.example,https://example.com/source/500-hvac-companies-running-google-ads/7,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 08,https://hvac-companies-sample-08.example,Seattle,WA,Ad Spend Signal,Seattle,https://hvac-companies-sample-08.example,https://hvac-companies-sample-08.example,https://hvac-companies-sample-08.example/contact,(555) 017-107,hello8@hvac-companies-sample-08.example,https://example.com/source/500-hvac-companies-running-google-ads/8,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 09,https://hvac-companies-sample-09.example,Atlanta,GA,Ad Spend Signal,Atlanta,https://hvac-companies-sample-09.example,https://hvac-companies-sample-09.example,https://hvac-companies-sample-09.example/contact,(555) 018-108,hello9@hvac-companies-sample-09.example,https://example.com/source/500-hvac-companies-running-google-ads/9,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
HVAC Companies Sample 10,https://hvac-companies-sample-10.example,Miami,FL,Ad Spend Signal,Miami,https://hvac-companies-sample-10.example,https://hvac-companies-sample-10.example,https://hvac-companies-sample-10.example/contact,(555) 019-109,hello10@hvac-companies-sample-10.example,https://example.com/source/500-hvac-companies-running-google-ads/10,Sample row for 500 HVAC Companies Running Google Ads; replace with verified production data before outreach.
