business_name,website,city,state,category,lead_response_intake_signal,chat_booking_status,ai_tool_gap,contact_page,phone,public_email,source_url,suggested_outreach_angle,notes
Companies Hiring Sales Reps But Sample 01,https://companies-hiring-sales-reps-but-sample-01.example,Los Angeles,CA,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-01.example/contact,(555) 010-100,hello1@companies-hiring-sales-reps-but-sample-01.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/1,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 02,https://companies-hiring-sales-reps-but-sample-02.example,San Diego,CA,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-02.example/contact,(555) 011-101,hello2@companies-hiring-sales-reps-but-sample-02.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/2,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 03,https://companies-hiring-sales-reps-but-sample-03.example,San Jose,CA,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-03.example/contact,(555) 012-102,hello3@companies-hiring-sales-reps-but-sample-03.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/3,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 04,https://companies-hiring-sales-reps-but-sample-04.example,Austin,TX,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-04.example/contact,(555) 013-103,hello4@companies-hiring-sales-reps-but-sample-04.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/4,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 05,https://companies-hiring-sales-reps-but-sample-05.example,Denver,CO,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-05.example/contact,(555) 014-104,hello5@companies-hiring-sales-reps-but-sample-05.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/5,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 06,https://companies-hiring-sales-reps-but-sample-06.example,Phoenix,AZ,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-06.example/contact,(555) 015-105,hello6@companies-hiring-sales-reps-but-sample-06.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/6,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 07,https://companies-hiring-sales-reps-but-sample-07.example,Chicago,IL,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-07.example/contact,(555) 016-106,hello7@companies-hiring-sales-reps-but-sample-07.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/7,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 08,https://companies-hiring-sales-reps-but-sample-08.example,Seattle,WA,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-08.example/contact,(555) 017-107,hello8@companies-hiring-sales-reps-but-sample-08.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/8,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 09,https://companies-hiring-sales-reps-but-sample-09.example,Atlanta,GA,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-09.example/contact,(555) 018-108,hello9@companies-hiring-sales-reps-but-sample-09.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/9,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
Companies Hiring Sales Reps But Sample 10,https://companies-hiring-sales-reps-but-sample-10.example,Miami,FL,AI Automation Opportunity,Recent hiring intent signal,Recent hiring intent signal,Recent hiring intent signal,https://companies-hiring-sales-reps-but-sample-10.example/contact,(555) 019-109,hello10@companies-hiring-sales-reps-but-sample-10.example,https://example.com/source/500-companies-hiring-sales-reps-but-no-ai-sdr-tool-signal/10,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.,Sample row for 500 Companies Hiring Sales Reps But No AI SDR Tool Signal; replace with verified production data before outreach.
