organization_name,website,city,state,sponsorship_type,sponsor_page_media_kit,contact_page,public_email,phone,audience_event_signal,source_url,notes
organization name sample 1,https://charity-events-sample-01.example,Los Angeles,CA,sponsorship type sample 1,sponsor page media kit sample 1,https://charity-events-sample-01.example/contact,hello1@charity-events-sample-01.example,(555) 010-100,Relevant local sponsorship opportunity signal 1,https://example.com/source/500-charity-events-with-sponsor-pages/1,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 2,https://charity-events-sample-02.example,San Diego,CA,sponsorship type sample 2,sponsor page media kit sample 2,https://charity-events-sample-02.example/contact,hello2@charity-events-sample-02.example,(555) 011-101,Relevant local sponsorship opportunity signal 2,https://example.com/source/500-charity-events-with-sponsor-pages/2,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 3,https://charity-events-sample-03.example,San Jose,CA,sponsorship type sample 3,sponsor page media kit sample 3,https://charity-events-sample-03.example/contact,hello3@charity-events-sample-03.example,(555) 012-102,Relevant local sponsorship opportunity signal 3,https://example.com/source/500-charity-events-with-sponsor-pages/3,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 4,https://charity-events-sample-04.example,Austin,TX,sponsorship type sample 4,sponsor page media kit sample 4,https://charity-events-sample-04.example/contact,hello4@charity-events-sample-04.example,(555) 013-103,Relevant local sponsorship opportunity signal 4,https://example.com/source/500-charity-events-with-sponsor-pages/4,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 5,https://charity-events-sample-05.example,Denver,CO,sponsorship type sample 5,sponsor page media kit sample 5,https://charity-events-sample-05.example/contact,hello5@charity-events-sample-05.example,(555) 014-104,Relevant local sponsorship opportunity signal 5,https://example.com/source/500-charity-events-with-sponsor-pages/5,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 6,https://charity-events-sample-06.example,Phoenix,AZ,sponsorship type sample 6,sponsor page media kit sample 6,https://charity-events-sample-06.example/contact,hello6@charity-events-sample-06.example,(555) 015-105,Relevant local sponsorship opportunity signal 6,https://example.com/source/500-charity-events-with-sponsor-pages/6,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 7,https://charity-events-sample-07.example,Chicago,IL,sponsorship type sample 7,sponsor page media kit sample 7,https://charity-events-sample-07.example/contact,hello7@charity-events-sample-07.example,(555) 016-106,Relevant local sponsorship opportunity signal 7,https://example.com/source/500-charity-events-with-sponsor-pages/7,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 8,https://charity-events-sample-08.example,Seattle,WA,sponsorship type sample 8,sponsor page media kit sample 8,https://charity-events-sample-08.example/contact,hello8@charity-events-sample-08.example,(555) 017-107,Relevant local sponsorship opportunity signal 8,https://example.com/source/500-charity-events-with-sponsor-pages/8,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 9,https://charity-events-sample-09.example,Atlanta,GA,sponsorship type sample 9,sponsor page media kit sample 9,https://charity-events-sample-09.example/contact,hello9@charity-events-sample-09.example,(555) 018-108,Relevant local sponsorship opportunity signal 9,https://example.com/source/500-charity-events-with-sponsor-pages/9,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
organization name sample 10,https://charity-events-sample-10.example,Miami,FL,sponsorship type sample 10,sponsor page media kit sample 10,https://charity-events-sample-10.example/contact,hello10@charity-events-sample-10.example,(555) 019-109,Relevant local sponsorship opportunity signal 10,https://example.com/source/500-charity-events-with-sponsor-pages/10,Sample row for 500 Charity Events With Sponsor Pages; replace with verified production data before outreach.
