business_creator_name,website_profile_url,city,state_market,category,recent_activity_signal,activity_date_recency_window,opportunity_gap,public_contact_path,source_url,notes
business creator name sample 1,https://restaurants-sample-01.example,Los Angeles,Los Angeles,Recently Active,No obvious online workflow found,2026-04-10,No obvious online workflow found,https://restaurants-sample-01.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/1,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 2,https://restaurants-sample-02.example,San Diego,San Diego,Recently Active,No obvious online workflow found,2026-04-11,No obvious online workflow found,https://restaurants-sample-02.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/2,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 3,https://restaurants-sample-03.example,San Jose,San Jose,Recently Active,No obvious online workflow found,2026-04-12,No obvious online workflow found,https://restaurants-sample-03.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/3,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 4,https://restaurants-sample-04.example,Austin,Austin,Recently Active,No obvious online workflow found,2026-04-13,No obvious online workflow found,https://restaurants-sample-04.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/4,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 5,https://restaurants-sample-05.example,Denver,Denver,Recently Active,No obvious online workflow found,2026-04-14,No obvious online workflow found,https://restaurants-sample-05.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/5,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 6,https://restaurants-sample-06.example,Phoenix,Phoenix,Recently Active,No obvious online workflow found,2026-04-15,No obvious online workflow found,https://restaurants-sample-06.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/6,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 7,https://restaurants-sample-07.example,Chicago,Chicago,Recently Active,No obvious online workflow found,2026-04-16,No obvious online workflow found,https://restaurants-sample-07.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/7,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 8,https://restaurants-sample-08.example,Seattle,Seattle,Recently Active,No obvious online workflow found,2026-04-17,No obvious online workflow found,https://restaurants-sample-08.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/8,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 9,https://restaurants-sample-09.example,Atlanta,Atlanta,Recently Active,No obvious online workflow found,2026-04-18,No obvious online workflow found,https://restaurants-sample-09.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/9,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
business creator name sample 10,https://restaurants-sample-10.example,Miami,Miami,Recently Active,No obvious online workflow found,2026-04-19,No obvious online workflow found,https://restaurants-sample-10.example/contact,https://example.com/source/500-restaurants-with-recent-menu-updates-but-no-online-ordering/10,Sample row for 500 Restaurants With Recent Menu Updates But No Online Ordering; replace with verified production data before outreach.
