organization_contact_name,website,city,state,group_type,sponsorship_contact_page,public_email,phone,social_link,source_url,notes
organization contact name sample 1,https://black-owned-business-directories-sample-01.example,Los Angeles,CA,group type sample 1,https://black-owned-business-directories-sample-01.example/contact,hello1@black-owned-business-directories-sample-01.example,(555) 010-100,https://www.instagram.com/black-owned-business-directories-sample-01,https://example.com/source/black-owned-business-directories/1,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 2,https://black-owned-business-directories-sample-02.example,San Diego,CA,group type sample 2,https://black-owned-business-directories-sample-02.example/contact,hello2@black-owned-business-directories-sample-02.example,(555) 011-101,https://www.instagram.com/black-owned-business-directories-sample-02,https://example.com/source/black-owned-business-directories/2,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 3,https://black-owned-business-directories-sample-03.example,San Jose,CA,group type sample 3,https://black-owned-business-directories-sample-03.example/contact,hello3@black-owned-business-directories-sample-03.example,(555) 012-102,https://www.instagram.com/black-owned-business-directories-sample-03,https://example.com/source/black-owned-business-directories/3,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 4,https://black-owned-business-directories-sample-04.example,Austin,TX,group type sample 4,https://black-owned-business-directories-sample-04.example/contact,hello4@black-owned-business-directories-sample-04.example,(555) 013-103,https://www.instagram.com/black-owned-business-directories-sample-04,https://example.com/source/black-owned-business-directories/4,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 5,https://black-owned-business-directories-sample-05.example,Denver,CO,group type sample 5,https://black-owned-business-directories-sample-05.example/contact,hello5@black-owned-business-directories-sample-05.example,(555) 014-104,https://www.instagram.com/black-owned-business-directories-sample-05,https://example.com/source/black-owned-business-directories/5,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 6,https://black-owned-business-directories-sample-06.example,Phoenix,AZ,group type sample 6,https://black-owned-business-directories-sample-06.example/contact,hello6@black-owned-business-directories-sample-06.example,(555) 015-105,https://www.instagram.com/black-owned-business-directories-sample-06,https://example.com/source/black-owned-business-directories/6,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 7,https://black-owned-business-directories-sample-07.example,Chicago,IL,group type sample 7,https://black-owned-business-directories-sample-07.example/contact,hello7@black-owned-business-directories-sample-07.example,(555) 016-106,https://www.instagram.com/black-owned-business-directories-sample-07,https://example.com/source/black-owned-business-directories/7,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 8,https://black-owned-business-directories-sample-08.example,Seattle,WA,group type sample 8,https://black-owned-business-directories-sample-08.example/contact,hello8@black-owned-business-directories-sample-08.example,(555) 017-107,https://www.instagram.com/black-owned-business-directories-sample-08,https://example.com/source/black-owned-business-directories/8,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 9,https://black-owned-business-directories-sample-09.example,Atlanta,GA,group type sample 9,https://black-owned-business-directories-sample-09.example/contact,hello9@black-owned-business-directories-sample-09.example,(555) 018-108,https://www.instagram.com/black-owned-business-directories-sample-09,https://example.com/source/black-owned-business-directories/9,Sample row for Black-owned business directories; replace with verified production data before outreach.
organization contact name sample 10,https://black-owned-business-directories-sample-10.example,Miami,FL,group type sample 10,https://black-owned-business-directories-sample-10.example/contact,hello10@black-owned-business-directories-sample-10.example,(555) 019-109,https://www.instagram.com/black-owned-business-directories-sample-10,https://example.com/source/black-owned-business-directories/10,Sample row for Black-owned business directories; replace with verified production data before outreach.
