organization_name,issue_area,city,state,website,email,leadership_names,endorsement_page,events_page,donation_page,social_links,source_url,notes
organization name sample 1,Relevant political data opportunity signal 1,Los Angeles,CA,https://local-advocacy-organization-list-sample-01.example,hello1@local-advocacy-organization-list-sample-01.example,leadership names sample 1,endorsement page sample 1,events page sample 1,Relevant political data opportunity signal 1,https://www.instagram.com/local-advocacy-organization-list-sample-01,https://example.com/source/local-advocacy-organization-list/1,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 2,Relevant political data opportunity signal 2,San Diego,CA,https://local-advocacy-organization-list-sample-02.example,hello2@local-advocacy-organization-list-sample-02.example,leadership names sample 2,endorsement page sample 2,events page sample 2,Relevant political data opportunity signal 2,https://www.instagram.com/local-advocacy-organization-list-sample-02,https://example.com/source/local-advocacy-organization-list/2,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 3,Relevant political data opportunity signal 3,San Jose,CA,https://local-advocacy-organization-list-sample-03.example,hello3@local-advocacy-organization-list-sample-03.example,leadership names sample 3,endorsement page sample 3,events page sample 3,Relevant political data opportunity signal 3,https://www.instagram.com/local-advocacy-organization-list-sample-03,https://example.com/source/local-advocacy-organization-list/3,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 4,Relevant political data opportunity signal 4,Austin,TX,https://local-advocacy-organization-list-sample-04.example,hello4@local-advocacy-organization-list-sample-04.example,leadership names sample 4,endorsement page sample 4,events page sample 4,Relevant political data opportunity signal 4,https://www.instagram.com/local-advocacy-organization-list-sample-04,https://example.com/source/local-advocacy-organization-list/4,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 5,Relevant political data opportunity signal 5,Denver,CO,https://local-advocacy-organization-list-sample-05.example,hello5@local-advocacy-organization-list-sample-05.example,leadership names sample 5,endorsement page sample 5,events page sample 5,Relevant political data opportunity signal 5,https://www.instagram.com/local-advocacy-organization-list-sample-05,https://example.com/source/local-advocacy-organization-list/5,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 6,Relevant political data opportunity signal 6,Phoenix,AZ,https://local-advocacy-organization-list-sample-06.example,hello6@local-advocacy-organization-list-sample-06.example,leadership names sample 6,endorsement page sample 6,events page sample 6,Relevant political data opportunity signal 6,https://www.instagram.com/local-advocacy-organization-list-sample-06,https://example.com/source/local-advocacy-organization-list/6,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 7,Relevant political data opportunity signal 7,Chicago,IL,https://local-advocacy-organization-list-sample-07.example,hello7@local-advocacy-organization-list-sample-07.example,leadership names sample 7,endorsement page sample 7,events page sample 7,Relevant political data opportunity signal 7,https://www.instagram.com/local-advocacy-organization-list-sample-07,https://example.com/source/local-advocacy-organization-list/7,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 8,Relevant political data opportunity signal 8,Seattle,WA,https://local-advocacy-organization-list-sample-08.example,hello8@local-advocacy-organization-list-sample-08.example,leadership names sample 8,endorsement page sample 8,events page sample 8,Relevant political data opportunity signal 8,https://www.instagram.com/local-advocacy-organization-list-sample-08,https://example.com/source/local-advocacy-organization-list/8,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 9,Relevant political data opportunity signal 9,Atlanta,GA,https://local-advocacy-organization-list-sample-09.example,hello9@local-advocacy-organization-list-sample-09.example,leadership names sample 9,endorsement page sample 9,events page sample 9,Relevant political data opportunity signal 9,https://www.instagram.com/local-advocacy-organization-list-sample-09,https://example.com/source/local-advocacy-organization-list/9,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
organization name sample 10,Relevant political data opportunity signal 10,Miami,FL,https://local-advocacy-organization-list-sample-10.example,hello10@local-advocacy-organization-list-sample-10.example,leadership names sample 10,endorsement page sample 10,events page sample 10,Relevant political data opportunity signal 10,https://www.instagram.com/local-advocacy-organization-list-sample-10,https://example.com/source/local-advocacy-organization-list/10,Sample row for Local Advocacy Organization List; replace with verified production data before outreach.
