agency_organization,department,website,city,state,public_contact_page,phone,public_email,source_url,category,notes
agency organization sample 1,department sample 1,https://business-improvement-districts-sample-01.example,Los Angeles,CA,https://business-improvement-districts-sample-01.example/contact,(555) 010-100,hello1@business-improvement-districts-sample-01.example,https://example.com/source/business-improvement-districts/1,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 2,department sample 2,https://business-improvement-districts-sample-02.example,San Diego,CA,https://business-improvement-districts-sample-02.example/contact,(555) 011-101,hello2@business-improvement-districts-sample-02.example,https://example.com/source/business-improvement-districts/2,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 3,department sample 3,https://business-improvement-districts-sample-03.example,San Jose,CA,https://business-improvement-districts-sample-03.example/contact,(555) 012-102,hello3@business-improvement-districts-sample-03.example,https://example.com/source/business-improvement-districts/3,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 4,department sample 4,https://business-improvement-districts-sample-04.example,Austin,TX,https://business-improvement-districts-sample-04.example/contact,(555) 013-103,hello4@business-improvement-districts-sample-04.example,https://example.com/source/business-improvement-districts/4,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 5,department sample 5,https://business-improvement-districts-sample-05.example,Denver,CO,https://business-improvement-districts-sample-05.example/contact,(555) 014-104,hello5@business-improvement-districts-sample-05.example,https://example.com/source/business-improvement-districts/5,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 6,department sample 6,https://business-improvement-districts-sample-06.example,Phoenix,AZ,https://business-improvement-districts-sample-06.example/contact,(555) 015-105,hello6@business-improvement-districts-sample-06.example,https://example.com/source/business-improvement-districts/6,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 7,department sample 7,https://business-improvement-districts-sample-07.example,Chicago,IL,https://business-improvement-districts-sample-07.example/contact,(555) 016-106,hello7@business-improvement-districts-sample-07.example,https://example.com/source/business-improvement-districts/7,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 8,department sample 8,https://business-improvement-districts-sample-08.example,Seattle,WA,https://business-improvement-districts-sample-08.example/contact,(555) 017-107,hello8@business-improvement-districts-sample-08.example,https://example.com/source/business-improvement-districts/8,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 9,department sample 9,https://business-improvement-districts-sample-09.example,Atlanta,GA,https://business-improvement-districts-sample-09.example/contact,(555) 018-108,hello9@business-improvement-districts-sample-09.example,https://example.com/source/business-improvement-districts/9,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
agency organization sample 10,department sample 10,https://business-improvement-districts-sample-10.example,Miami,FL,https://business-improvement-districts-sample-10.example/contact,(555) 019-109,hello10@business-improvement-districts-sample-10.example,https://example.com/source/business-improvement-districts/10,Government and Public Organization,Sample row for Business improvement districts; replace with verified production data before outreach.
