business_name,website,city,state,current_platform_signal,migration_opportunity,conversion_seo_gap,contact_page,phone,public_email,source_url,notes
Wix Businesses Sample 01,https://wix-businesses-sample-01.example,Los Angeles,CA,Relevant platform migration opportunity signal 1,migration opportunity sample 1,Relevant platform migration opportunity signal 1,https://wix-businesses-sample-01.example/contact,(555) 010-100,hello1@wix-businesses-sample-01.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/1,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 02,https://wix-businesses-sample-02.example,San Diego,CA,Relevant platform migration opportunity signal 2,migration opportunity sample 2,Relevant platform migration opportunity signal 2,https://wix-businesses-sample-02.example/contact,(555) 011-101,hello2@wix-businesses-sample-02.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/2,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 03,https://wix-businesses-sample-03.example,San Jose,CA,Relevant platform migration opportunity signal 3,migration opportunity sample 3,Relevant platform migration opportunity signal 3,https://wix-businesses-sample-03.example/contact,(555) 012-102,hello3@wix-businesses-sample-03.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/3,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 04,https://wix-businesses-sample-04.example,Austin,TX,Relevant platform migration opportunity signal 4,migration opportunity sample 4,Relevant platform migration opportunity signal 4,https://wix-businesses-sample-04.example/contact,(555) 013-103,hello4@wix-businesses-sample-04.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/4,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 05,https://wix-businesses-sample-05.example,Denver,CO,Relevant platform migration opportunity signal 5,migration opportunity sample 5,Relevant platform migration opportunity signal 5,https://wix-businesses-sample-05.example/contact,(555) 014-104,hello5@wix-businesses-sample-05.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/5,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 06,https://wix-businesses-sample-06.example,Phoenix,AZ,Relevant platform migration opportunity signal 6,migration opportunity sample 6,Relevant platform migration opportunity signal 6,https://wix-businesses-sample-06.example/contact,(555) 015-105,hello6@wix-businesses-sample-06.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/6,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 07,https://wix-businesses-sample-07.example,Chicago,IL,Relevant platform migration opportunity signal 7,migration opportunity sample 7,Relevant platform migration opportunity signal 7,https://wix-businesses-sample-07.example/contact,(555) 016-106,hello7@wix-businesses-sample-07.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/7,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 08,https://wix-businesses-sample-08.example,Seattle,WA,Relevant platform migration opportunity signal 8,migration opportunity sample 8,Relevant platform migration opportunity signal 8,https://wix-businesses-sample-08.example/contact,(555) 017-107,hello8@wix-businesses-sample-08.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/8,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 09,https://wix-businesses-sample-09.example,Atlanta,GA,Relevant platform migration opportunity signal 9,migration opportunity sample 9,Relevant platform migration opportunity signal 9,https://wix-businesses-sample-09.example/contact,(555) 018-108,hello9@wix-businesses-sample-09.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/9,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
Wix Businesses Sample 10,https://wix-businesses-sample-10.example,Miami,FL,Relevant platform migration opportunity signal 10,migration opportunity sample 10,Relevant platform migration opportunity signal 10,https://wix-businesses-sample-10.example/contact,(555) 019-109,hello10@wix-businesses-sample-10.example,https://example.com/source/500-wix-businesses-with-no-seo-metadata/10,Sample row for 500 Wix Businesses With No SEO Metadata; replace with verified production data before outreach.
