business_name,website,city,state,category,ad_keyword_market_signal,landing_page_url,landing_page_weakness,contact_page,phone,public_email,source_url,notes
Roofers Sample 01,https://roofers-sample-01.example,Los Angeles,CA,Ad Spend Signal,Los Angeles,https://roofers-sample-01.example,https://roofers-sample-01.example,https://roofers-sample-01.example/contact,(555) 010-100,hello1@roofers-sample-01.example,https://example.com/source/500-roofers-running-google-ads/1,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 02,https://roofers-sample-02.example,San Diego,CA,Ad Spend Signal,San Diego,https://roofers-sample-02.example,https://roofers-sample-02.example,https://roofers-sample-02.example/contact,(555) 011-101,hello2@roofers-sample-02.example,https://example.com/source/500-roofers-running-google-ads/2,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 03,https://roofers-sample-03.example,San Jose,CA,Ad Spend Signal,San Jose,https://roofers-sample-03.example,https://roofers-sample-03.example,https://roofers-sample-03.example/contact,(555) 012-102,hello3@roofers-sample-03.example,https://example.com/source/500-roofers-running-google-ads/3,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 04,https://roofers-sample-04.example,Austin,TX,Ad Spend Signal,Austin,https://roofers-sample-04.example,https://roofers-sample-04.example,https://roofers-sample-04.example/contact,(555) 013-103,hello4@roofers-sample-04.example,https://example.com/source/500-roofers-running-google-ads/4,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 05,https://roofers-sample-05.example,Denver,CO,Ad Spend Signal,Denver,https://roofers-sample-05.example,https://roofers-sample-05.example,https://roofers-sample-05.example/contact,(555) 014-104,hello5@roofers-sample-05.example,https://example.com/source/500-roofers-running-google-ads/5,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 06,https://roofers-sample-06.example,Phoenix,AZ,Ad Spend Signal,Phoenix,https://roofers-sample-06.example,https://roofers-sample-06.example,https://roofers-sample-06.example/contact,(555) 015-105,hello6@roofers-sample-06.example,https://example.com/source/500-roofers-running-google-ads/6,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 07,https://roofers-sample-07.example,Chicago,IL,Ad Spend Signal,Chicago,https://roofers-sample-07.example,https://roofers-sample-07.example,https://roofers-sample-07.example/contact,(555) 016-106,hello7@roofers-sample-07.example,https://example.com/source/500-roofers-running-google-ads/7,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 08,https://roofers-sample-08.example,Seattle,WA,Ad Spend Signal,Seattle,https://roofers-sample-08.example,https://roofers-sample-08.example,https://roofers-sample-08.example/contact,(555) 017-107,hello8@roofers-sample-08.example,https://example.com/source/500-roofers-running-google-ads/8,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 09,https://roofers-sample-09.example,Atlanta,GA,Ad Spend Signal,Atlanta,https://roofers-sample-09.example,https://roofers-sample-09.example,https://roofers-sample-09.example/contact,(555) 018-108,hello9@roofers-sample-09.example,https://example.com/source/500-roofers-running-google-ads/9,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
Roofers Sample 10,https://roofers-sample-10.example,Miami,FL,Ad Spend Signal,Miami,https://roofers-sample-10.example,https://roofers-sample-10.example,https://roofers-sample-10.example/contact,(555) 019-109,hello10@roofers-sample-10.example,https://example.com/source/500-roofers-running-google-ads/10,Sample row for 500 Roofers Running Google Ads; replace with verified production data before outreach.
