business_name,website,city,state,opportunity_signal,issue_trigger,phone,public_email,contact_page,source_url,notes
Businesses hiring sales reps Sample 01,https://businesses-hiring-sales-reps-sample-01.example,Los Angeles,CA,Recent hiring intent signal,Recent hiring intent signal,(555) 010-100,hello1@businesses-hiring-sales-reps-sample-01.example,https://businesses-hiring-sales-reps-sample-01.example/contact,https://example.com/source/businesses-hiring-sales-reps/1,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 02,https://businesses-hiring-sales-reps-sample-02.example,San Diego,CA,Recent hiring intent signal,Recent hiring intent signal,(555) 011-101,hello2@businesses-hiring-sales-reps-sample-02.example,https://businesses-hiring-sales-reps-sample-02.example/contact,https://example.com/source/businesses-hiring-sales-reps/2,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 03,https://businesses-hiring-sales-reps-sample-03.example,San Jose,CA,Recent hiring intent signal,Recent hiring intent signal,(555) 012-102,hello3@businesses-hiring-sales-reps-sample-03.example,https://businesses-hiring-sales-reps-sample-03.example/contact,https://example.com/source/businesses-hiring-sales-reps/3,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 04,https://businesses-hiring-sales-reps-sample-04.example,Austin,TX,Recent hiring intent signal,Recent hiring intent signal,(555) 013-103,hello4@businesses-hiring-sales-reps-sample-04.example,https://businesses-hiring-sales-reps-sample-04.example/contact,https://example.com/source/businesses-hiring-sales-reps/4,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 05,https://businesses-hiring-sales-reps-sample-05.example,Denver,CO,Recent hiring intent signal,Recent hiring intent signal,(555) 014-104,hello5@businesses-hiring-sales-reps-sample-05.example,https://businesses-hiring-sales-reps-sample-05.example/contact,https://example.com/source/businesses-hiring-sales-reps/5,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 06,https://businesses-hiring-sales-reps-sample-06.example,Phoenix,AZ,Recent hiring intent signal,Recent hiring intent signal,(555) 015-105,hello6@businesses-hiring-sales-reps-sample-06.example,https://businesses-hiring-sales-reps-sample-06.example/contact,https://example.com/source/businesses-hiring-sales-reps/6,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 07,https://businesses-hiring-sales-reps-sample-07.example,Chicago,IL,Recent hiring intent signal,Recent hiring intent signal,(555) 016-106,hello7@businesses-hiring-sales-reps-sample-07.example,https://businesses-hiring-sales-reps-sample-07.example/contact,https://example.com/source/businesses-hiring-sales-reps/7,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 08,https://businesses-hiring-sales-reps-sample-08.example,Seattle,WA,Recent hiring intent signal,Recent hiring intent signal,(555) 017-107,hello8@businesses-hiring-sales-reps-sample-08.example,https://businesses-hiring-sales-reps-sample-08.example/contact,https://example.com/source/businesses-hiring-sales-reps/8,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 09,https://businesses-hiring-sales-reps-sample-09.example,Atlanta,GA,Recent hiring intent signal,Recent hiring intent signal,(555) 018-108,hello9@businesses-hiring-sales-reps-sample-09.example,https://businesses-hiring-sales-reps-sample-09.example/contact,https://example.com/source/businesses-hiring-sales-reps/9,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
Businesses hiring sales reps Sample 10,https://businesses-hiring-sales-reps-sample-10.example,Miami,FL,Recent hiring intent signal,Recent hiring intent signal,(555) 019-109,hello10@businesses-hiring-sales-reps-sample-10.example,https://businesses-hiring-sales-reps-sample-10.example/contact,https://example.com/source/businesses-hiring-sales-reps/10,Sample row for Businesses hiring sales reps; replace with verified production data before outreach.
