company_client,lobbyist,issue_area,government_body,filing_date,amount_paid_if_public,bills_issues_mentioned,contact_info,source_filing,notes
company client sample 1,lobbyist sample 1,Relevant political data opportunity signal 1,government body sample 1,2026-04-10,amount paid if public sample 1,Relevant political data opportunity signal 1,contact info sample 1,https://example.com/source/lobbying-client-list/1,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 2,lobbyist sample 2,Relevant political data opportunity signal 2,government body sample 2,2026-04-11,amount paid if public sample 2,Relevant political data opportunity signal 2,contact info sample 2,https://example.com/source/lobbying-client-list/2,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 3,lobbyist sample 3,Relevant political data opportunity signal 3,government body sample 3,2026-04-12,amount paid if public sample 3,Relevant political data opportunity signal 3,contact info sample 3,https://example.com/source/lobbying-client-list/3,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 4,lobbyist sample 4,Relevant political data opportunity signal 4,government body sample 4,2026-04-13,amount paid if public sample 4,Relevant political data opportunity signal 4,contact info sample 4,https://example.com/source/lobbying-client-list/4,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 5,lobbyist sample 5,Relevant political data opportunity signal 5,government body sample 5,2026-04-14,amount paid if public sample 5,Relevant political data opportunity signal 5,contact info sample 5,https://example.com/source/lobbying-client-list/5,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 6,lobbyist sample 6,Relevant political data opportunity signal 6,government body sample 6,2026-04-15,amount paid if public sample 6,Relevant political data opportunity signal 6,contact info sample 6,https://example.com/source/lobbying-client-list/6,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 7,lobbyist sample 7,Relevant political data opportunity signal 7,government body sample 7,2026-04-16,amount paid if public sample 7,Relevant political data opportunity signal 7,contact info sample 7,https://example.com/source/lobbying-client-list/7,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 8,lobbyist sample 8,Relevant political data opportunity signal 8,government body sample 8,2026-04-17,amount paid if public sample 8,Relevant political data opportunity signal 8,contact info sample 8,https://example.com/source/lobbying-client-list/8,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 9,lobbyist sample 9,Relevant political data opportunity signal 9,government body sample 9,2026-04-18,amount paid if public sample 9,Relevant political data opportunity signal 9,contact info sample 9,https://example.com/source/lobbying-client-list/9,Sample row for Lobbying Client List; replace with verified production data before outreach.
company client sample 10,lobbyist sample 10,Relevant political data opportunity signal 10,government body sample 10,2026-04-19,amount paid if public sample 10,Relevant political data opportunity signal 10,contact info sample 10,https://example.com/source/lobbying-client-list/10,Sample row for Lobbying Client List; replace with verified production data before outreach.
