business_name,website,city,state,category,lead_response_intake_signal,chat_booking_status,ai_tool_gap,contact_page,phone,public_email,source_url,suggested_outreach_angle,notes
Clinics/Medspas Sample 01,https://clinics-medspas-sample-01.example,Los Angeles,CA,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 1,Relevant ai automation opportunity opportunity signal 1,Relevant ai automation opportunity opportunity signal 1,https://clinics-medspas-sample-01.example/contact,(555) 010-100,hello1@clinics-medspas-sample-01.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/1,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 02,https://clinics-medspas-sample-02.example,San Diego,CA,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 2,Relevant ai automation opportunity opportunity signal 2,Relevant ai automation opportunity opportunity signal 2,https://clinics-medspas-sample-02.example/contact,(555) 011-101,hello2@clinics-medspas-sample-02.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/2,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 03,https://clinics-medspas-sample-03.example,San Jose,CA,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 3,Relevant ai automation opportunity opportunity signal 3,Relevant ai automation opportunity opportunity signal 3,https://clinics-medspas-sample-03.example/contact,(555) 012-102,hello3@clinics-medspas-sample-03.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/3,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 04,https://clinics-medspas-sample-04.example,Austin,TX,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 4,Relevant ai automation opportunity opportunity signal 4,Relevant ai automation opportunity opportunity signal 4,https://clinics-medspas-sample-04.example/contact,(555) 013-103,hello4@clinics-medspas-sample-04.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/4,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 05,https://clinics-medspas-sample-05.example,Denver,CO,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 5,Relevant ai automation opportunity opportunity signal 5,Relevant ai automation opportunity opportunity signal 5,https://clinics-medspas-sample-05.example/contact,(555) 014-104,hello5@clinics-medspas-sample-05.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/5,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 06,https://clinics-medspas-sample-06.example,Phoenix,AZ,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 6,Relevant ai automation opportunity opportunity signal 6,Relevant ai automation opportunity opportunity signal 6,https://clinics-medspas-sample-06.example/contact,(555) 015-105,hello6@clinics-medspas-sample-06.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/6,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 07,https://clinics-medspas-sample-07.example,Chicago,IL,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 7,Relevant ai automation opportunity opportunity signal 7,Relevant ai automation opportunity opportunity signal 7,https://clinics-medspas-sample-07.example/contact,(555) 016-106,hello7@clinics-medspas-sample-07.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/7,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 08,https://clinics-medspas-sample-08.example,Seattle,WA,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 8,Relevant ai automation opportunity opportunity signal 8,Relevant ai automation opportunity opportunity signal 8,https://clinics-medspas-sample-08.example/contact,(555) 017-107,hello8@clinics-medspas-sample-08.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/8,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 09,https://clinics-medspas-sample-09.example,Atlanta,GA,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 9,Relevant ai automation opportunity opportunity signal 9,Relevant ai automation opportunity opportunity signal 9,https://clinics-medspas-sample-09.example/contact,(555) 018-108,hello9@clinics-medspas-sample-09.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/9,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
Clinics/Medspas Sample 10,https://clinics-medspas-sample-10.example,Miami,FL,AI Automation Opportunity,Relevant ai automation opportunity opportunity signal 10,Relevant ai automation opportunity opportunity signal 10,Relevant ai automation opportunity opportunity signal 10,https://clinics-medspas-sample-10.example/contact,(555) 019-109,hello10@clinics-medspas-sample-10.example,https://example.com/source/500-clinics-medspas-with-missed-call-risk-signals/10,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.,Sample row for 500 Clinics/Medspas With Missed-Call Risk Signals; replace with verified production data before outreach.
